window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP,speaker
255.0,285.0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,"HCILab1, HCILab2"
270.0,300.0,1,0,2,3,0,0,0,0,1,1,0,0,0,0,"HCILab1, HCILab2"
285.0,315.0,1,0,1,6,0,0,0,0,2,1,0,0,0,0,"HCILab1, HCILab2"
300.0,330.0,0,0,1,6,0,1,0,0,4,2,0,0,0,1,"HCILab1, HCILab2"
315.0,345.0,0,0,1,4,0,1,0,0,3,2,0,0,0,1,"HCILab1, HCILab2"
330.0,360.0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,HCILab1
345.0,375.0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,"CSLPC, HCILab1"
360.0,390.0,0,0,3,5,0,0,0,0,2,4,0,0,0,0,CSLPC
375.0,405.0,1,0,4,7,0,2,0,0,2,9,0,0,0,0,"CSLPC, HCILab1"
390.0,420.0,2,0,3,5,0,2,0,0,1,7,0,0,0,0,"CSLPC, HCILab1"
405.0,435.0,3,0,5,2,0,3,0,0,3,5,0,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
420.0,450.0,2,0,4,2,0,2,0,0,2,3,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
435.0,465.0,1,0,2,1,0,3,0,0,3,2,0,0,0,0,HCILab2
450.0,480.0,1,0,2,6,0,2,0,0,5,7,0,0,0,0,"CSLPC, HCILab2"
465.0,495.0,1,0,2,6,0,2,0,0,5,7,0,0,0,0,"CSLPC, HCILab2"
480.0,510.0,1,0,2,9,0,0,0,0,5,7,0,0,0,0,"CSLPC, HCILab2"
495.0,525.0,3,0,2,10,0,0,0,0,5,8,0,0,0,0,"CSLPC, HCILab2"
510.0,540.0,2,0,0,2,0,0,0,0,2,5,0,0,0,0,"CSLPC, HCILab1"
525.0,555.0,0,0,0,3,0,0,0,0,2,8,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
540.0,570.0,0,0,2,4,0,0,0,0,1,6,0,0,1,0,"CSLLaptop, HCILab1, HCILab2"
555.0,585.0,1,0,4,2,0,2,0,0,0,2,0,0,1,0,"HCILab1, HCILab2"
570.0,600.0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,HCILab2
585.0,615.0,3,1,1,1,0,1,0,0,0,4,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
600.0,630.0,3,1,1,2,1,2,0,0,0,8,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
615.0,645.0,2,0,1,2,1,2,0,0,3,6,0,0,0,0,"CSLPC, HCILab1, HCILab2"
630.0,660.0,1,0,2,3,1,5,2,0,3,8,0,0,0,1,"CSLPC, HCILab1, HCILab2"
645.0,675.0,1,0,2,9,0,5,2,0,3,11,0,0,0,2,"CSLPC, HCILab1, HCILab2"
660.0,690.0,1,0,1,7,0,2,0,0,2,7,0,0,0,1,"CSLPC, HCILab1"
675.0,705.0,1,0,1,5,0,0,0,0,2,3,0,0,0,0,HCILab1
690.0,720.0,1,0,3,6,0,0,0,0,4,4,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
705.0,735.0,1,0,2,2,0,0,0,0,3,4,0,0,1,0,"CSLLaptop, HCILab1, HCILab2"
720.0,750.0,1,0,0,1,0,0,0,0,1,3,0,0,1,0,HCILab1
735.0,765.0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,HCILab1
750.0,780.0,0,0,2,1,0,3,0,0,2,2,0,0,1,0,"HCILab1, HCILab2"
765.0,795.0,1,0,2,1,0,2,0,0,1,3,0,0,0,1,"HCILab1, HCILab2"
780.0,810.0,3,1,1,3,0,2,0,0,1,10,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
795.0,825.0,3,1,0,3,0,1,0,0,1,9,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
810.0,840.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,"CSLLaptop, HCILab1"
825.0,855.0,0,0,2,1,0,2,0,0,1,2,0,0,0,0,"Chris, HCILab1"
840.0,870.0,1,0,2,1,0,2,0,0,2,3,0,0,0,0,"CSLPC, Chris, HCILab1"
855.0,885.0,2,0,1,0,0,0,0,0,5,3,0,0,0,0,"CSLPC, HCILab1"
870.0,900.0,2,0,0,0,0,0,0,0,8,2,0,0,0,0,"CSLLaptop, CSLPC"
885.0,915.0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
900.0,930.0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,"CSLLaptop, HCILab1"
915.0,945.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"CSLLaptop, HCILab1"
930.0,960.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,"CSLLaptop, HCILab1"
945.0,975.0,0,0,1,2,0,1,0,0,2,4,0,0,0,0,"CSLPC, HCILab1"
960.0,990.0,0,0,1,2,0,1,0,0,2,6,0,0,0,0,"CSLPC, HCILab1"
975.0,1005.0,0,0,2,4,0,1,0,0,0,3,0,0,0,0,"CSLPC, HCILab2"
990.0,1020.0,1,0,3,2,0,1,0,0,2,3,0,0,0,1,"CSLPC, HCILab2"
1005.0,1035.0,2,0,3,0,0,0,0,0,2,1,0,0,0,2,HCILab2
1020.0,1050.0,1,0,4,1,0,1,0,0,2,3,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
1035.0,1065.0,0,0,2,1,0,1,0,0,1,3,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1050.0,1080.0,0,1,2,4,0,0,0,1,1,4,0,0,0,0,"CSLLaptop, HCILab1"
1065.0,1095.0,1,1,1,4,0,0,0,1,1,5,0,0,0,0,"CSLPC, HCILab1"
1080.0,1110.0,1,1,1,3,0,0,0,1,1,3,0,0,0,0,"CSLPC, HCILab1"
1095.0,1125.0,1,0,2,1,1,0,0,1,5,9,0,0,1,0,"CSLPC, HCILab1, HCILab2"
1110.0,1140.0,0,0,2,1,2,1,0,1,7,11,0,0,1,0,"HCILab1, HCILab2"
1125.0,1155.0,0,0,1,4,2,2,0,0,6,11,0,0,0,0,"HCILab1, HCILab2"
1140.0,1170.0,0,0,4,3,2,3,0,0,2,9,0,0,0,1,"CSLPC, HCILab1, HCILab2"
1155.0,1185.0,0,0,5,2,2,2,0,0,4,8,0,0,0,2,"CSLPC, HCILab2"
1170.0,1200.0,0,0,5,1,1,2,0,0,4,5,0,0,0,1,"CSLPC, HCILab2"
1185.0,1215.0,0,0,1,2,1,0,0,0,2,2,0,0,0,1,CSLPC
1200.0,1230.0,1,0,1,4,1,0,0,0,4,6,0,0,0,1,"CSLLaptop, CSLPC"
1215.0,1245.0,1,0,0,3,0,0,0,0,3,5,0,1,0,0,"CSLLaptop, CSLPC, HCILab1"
1230.0,1260.0,0,0,5,0,0,0,0,0,2,4,0,1,0,0,"HCILab1, HCILab2"
1245.0,1275.0,0,0,5,2,0,0,0,0,4,4,0,1,0,0,"HCILab1, HCILab2"
1260.0,1290.0,0,0,3,4,0,0,0,0,3,2,0,0,0,0,"HCILab1, HCILab2"
1275.0,1305.0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,"HCILab1, HCILab2"
1290.0,1320.0,0,0,1,3,0,0,0,0,2,2,0,0,0,0,"HCILab1, HCILab2"
1305.0,1335.0,1,0,1,2,0,0,0,0,1,5,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1320.0,1350.0,1,0,1,2,0,0,0,0,0,4,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1335.0,1365.0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1350.0,1380.0,0,0,0,2,0,0,0,0,4,2,0,0,0,1,"CSLPC, HCILab1, HCILab2"
1365.0,1395.0,0,0,0,1,0,0,0,0,4,3,0,0,0,1,"CSLPC, HCILab1"
1380.0,1410.0,0,0,1,1,0,0,0,0,3,1,0,0,0,0,"CSLPC, HCILab1"
1395.0,1425.0,0,0,2,3,0,2,0,0,2,4,0,0,0,0,"CSLPC, HCILab1"
1410.0,1440.0,0,0,2,3,0,2,0,0,3,6,0,0,0,0,HCILab1
1425.0,1455.0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,HCILab1
1455.0,1485.0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,HCILab1
1470.0,1500.0,0,0,2,1,0,1,0,0,4,2,1,0,0,0,"CSLLaptop, HCILab1"
1485.0,1515.0,0,0,3,0,0,1,0,0,5,3,1,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1500.0,1530.0,0,0,4,0,0,1,0,0,3,3,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1515.0,1545.0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1530.0,1560.0,1,0,5,1,0,2,0,0,2,5,0,0,0,1,"HCILab1, HCILab2"
1545.0,1575.0,1,0,6,1,0,3,0,0,2,10,0,0,0,1,"HCILab1, HCILab2"
1560.0,1590.0,0,0,3,2,0,1,0,0,1,12,0,0,0,1,"CSLPC, HCILab1, HCILab2"
1575.0,1605.0,0,0,0,5,0,1,0,0,2,10,0,0,0,0,"CSLPC, HCILab1, HCILab2"
1590.0,1620.0,0,0,0,5,0,0,0,0,1,15,0,0,0,0,"CSLPC, HCILab1"
1605.0,1635.0,0,0,2,1,0,0,0,0,1,12,0,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
1620.0,1650.0,0,0,3,3,0,0,0,0,2,9,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1635.0,1665.0,0,0,4,5,0,0,0,0,1,11,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1650.0,1680.0,0,0,2,2,0,0,0,0,2,6,0,0,0,0,"CSLLaptop, HCILab1"
1665.0,1695.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CSLLaptop
1680.0,1710.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,HCILab1
1695.0,1725.0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,HCILab1
1710.0,1740.0,0,0,0,0,0,2,0,0,2,5,0,0,0,0,HCILab1
1725.0,1755.0,0,0,1,1,0,2,0,0,2,6,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1740.0,1770.0,0,0,2,5,0,1,0,0,2,7,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1755.0,1785.0,1,0,2,5,0,0,0,0,0,4,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
1770.0,1800.0,2,0,3,8,0,0,0,0,5,10,0,2,0,0,"CSLPC, HCILab1"
1785.0,1815.0,1,0,2,5,0,0,0,0,5,8,0,2,0,0,CSLPC
1800.0,1830.0,1,0,4,5,0,0,0,0,7,7,0,2,0,0,"CSLPC, HCILab1"
1815.0,1845.0,1,0,5,5,0,0,0,0,9,10,0,3,0,0,"CSLLaptop, CSLPC, HCILab1"
1830.0,1860.0,0,0,3,4,0,0,0,0,5,4,1,1,0,0,"CSLLaptop, HCILab1"
1845.0,1875.0,0,0,1,1,0,0,0,0,3,4,1,1,0,0,HCILab1
1860.0,1890.0,0,0,1,3,0,0,0,0,3,5,0,0,0,1,HCILab1
1875.0,1905.0,0,0,1,5,0,0,0,0,6,6,0,0,0,1,HCILab1
1890.0,1920.0,0,0,0,3,0,0,0,0,5,4,0,0,0,0,HCILab1
1905.0,1935.0,1,0,1,1,0,1,0,0,2,4,0,0,0,0,"HCILab1, HCILab2"
1920.0,1950.0,1,0,2,2,0,1,0,0,0,4,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1935.0,1965.0,0,0,3,2,0,1,0,0,1,3,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
1950.0,1980.0,0,0,2,0,0,1,0,0,1,4,0,0,0,0,"CSLLaptop, HCILab2"
1965.0,1995.0,1,0,0,1,0,1,0,0,2,6,0,0,0,0,"HCILab1, HCILab2"
1980.0,2010.0,1,0,0,1,0,0,0,0,2,9,0,0,0,0,"CSLPC, HCILab1, HCILab2"
1995.0,2025.0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,"CSLPC, HCILab1"
2010.0,2040.0,0,0,2,1,0,1,0,0,1,3,0,0,0,0,"CSLPC, HCILab1"
2025.0,2055.0,0,0,1,3,0,1,0,0,2,0,0,0,0,0,"CSLPC, HCILab1"
2040.0,2070.0,1,0,1,2,0,0,0,0,2,1,0,0,0,0,CSLPC
2055.0,2085.0,1,0,2,3,0,1,0,0,2,6,0,0,0,0,"CSLPC, HCILab1"
2070.0,2100.0,1,0,2,2,0,1,0,0,1,5,0,0,0,0,"CSLPC, HCILab1"
2085.0,2115.0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,"CSLPC, HCILab1"
2100.0,2130.0,0,0,1,1,0,1,0,1,2,5,0,0,0,1,HCILab1
2115.0,2145.0,0,1,3,1,0,2,0,1,0,5,0,0,0,2,HCILab1
2130.0,2160.0,1,1,3,0,0,2,0,0,3,4,0,0,0,2,"CSLLaptop, HCILab1, HCILab2"
2145.0,2175.0,1,1,3,2,0,0,0,0,3,2,0,1,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
2160.0,2190.0,0,1,2,2,0,0,0,0,2,4,0,1,0,0,"CSLPC, HCILab1, HCILab2"
2175.0,2205.0,0,1,2,4,0,1,0,0,3,13,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2190.0,2220.0,0,0,1,3,0,1,0,0,3,10,0,0,0,0,"CSLPC, HCILab2"
2205.0,2235.0,0,0,2,3,0,2,0,0,5,9,0,0,1,0,"CSLPC, HCILab1"
2220.0,2250.0,0,0,2,4,0,2,0,0,5,9,0,0,1,0,"CSLLaptop, CSLPC, HCILab1"
2235.0,2265.0,1,0,1,2,0,0,0,0,1,3,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2250.0,2280.0,1,1,1,4,0,0,0,0,2,8,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2265.0,2295.0,0,1,0,5,0,1,0,0,2,11,0,0,0,0,"CSLPC, HCILab1"
2280.0,2310.0,0,1,0,3,0,1,0,0,2,10,0,0,0,0,"CSLPC, HCILab1"
2295.0,2325.0,0,0,2,1,0,0,0,0,1,4,0,0,0,0,"CSLLaptop, HCILab1"
2310.0,2340.0,1,0,3,2,0,4,0,0,3,2,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
2325.0,2355.0,1,0,1,2,0,4,0,0,3,1,0,0,0,0,"CSLPC, HCILab2"
2340.0,2370.0,1,0,1,1,0,4,0,0,3,0,0,0,0,0,"CSLPC, HCILab2"
2355.0,2385.0,0,0,2,2,0,2,0,0,5,2,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2370.0,2400.0,0,0,2,3,0,2,0,0,4,4,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2385.0,2415.0,0,0,1,2,0,1,0,0,5,5,1,0,0,0,"CSLPC, HCILab1, HCILab2"
2400.0,2430.0,0,0,1,2,0,0,0,0,5,7,1,0,0,0,"CSLPC, HCILab1, HCILab2"
2415.0,2445.0,0,0,1,2,0,0,0,0,3,5,0,0,0,0,CSLPC
2430.0,2460.0,1,0,3,2,0,0,0,0,4,5,0,0,0,0,"CSLPC, HCILab1"
2445.0,2475.0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,"CSLPC, HCILab1"
2460.0,2490.0,1,0,3,2,0,0,0,0,4,8,0,0,0,0,HCILab1
2475.0,2505.0,0,0,3,3,0,0,0,0,2,11,0,0,1,0,HCILab1
2490.0,2520.0,1,0,3,5,0,0,0,0,3,12,0,0,1,0,"CSLPC, HCILab1"
2505.0,2535.0,1,0,1,3,0,0,0,0,1,3,0,0,1,0,"CSLPC, HCILab1"
2520.0,2550.0,1,1,2,2,0,1,0,0,3,0,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2535.0,2565.0,0,1,3,1,0,1,0,0,2,3,0,0,0,0,"HCILab1, HCILab2"
2550.0,2580.0,0,1,3,3,0,1,0,0,1,4,0,0,0,0,"CSLPC, HCILab1"
2565.0,2595.0,0,0,1,3,0,0,0,0,1,4,0,0,0,0,"CSLPC, HCILab1"
2580.0,2610.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"CSLPC, Chris, HCILab1"
2595.0,2625.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Chris, HCILab1"
2610.0,2640.0,0,0,1,1,0,2,0,0,1,2,0,0,0,1,"CSLLaptop, HCILab1"
2625.0,2655.0,0,0,2,2,0,2,0,0,1,7,0,0,0,1,"CSLLaptop, HCILab1"
2640.0,2670.0,1,0,1,1,1,0,0,0,1,6,0,0,0,0,"CSLLaptop, HCILab1"
2655.0,2685.0,1,0,1,1,1,0,0,0,1,5,0,0,0,0,"CSLLaptop, HCILab1"
