speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
CSL_Laptop,195.0,225.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,210.0,240.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,240.0,270.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,255.0,285.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,420.0,450.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSL_Laptop,435.0,465.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSL_Laptop,450.0,480.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSL_Laptop,465.0,495.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSL_Laptop,495.0,525.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,510.0,540.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,570.0,600.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSL_Laptop,585.0,615.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CSL_Laptop,600.0,630.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,615.0,645.0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
CSL_Laptop,630.0,660.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CSL_Laptop,1305.0,1335.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
CSL_Laptop,1320.0,1350.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
CSL_Laptop,1335.0,1365.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,1350.0,1380.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,1755.0,1785.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,1770.0,1800.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,1815.0,1845.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,1830.0,1860.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,2865.0,2895.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,2880.0,2910.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,3000.0,3030.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSL_Laptop,3015.0,3045.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CSL_Laptop,3030.0,3060.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSL_Laptop,3180.0,3210.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,3195.0,3225.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,3615.0,3645.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSL_Laptop,3630.0,3660.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
