window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
0.0,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,SPEAKER_00
15.0,45.0,0,3,0,0,0,0,0,3,0,0,1,1,0,3,SPEAKER_00
30.0,60.0,0,2,0,0,2,0,0,3,0,0,1,2,0,10,SPEAKER_00
45.0,75.0,0,4,0,0,5,0,0,2,0,0,1,4,0,8,SPEAKER_00
60.0,90.0,0,4,0,0,3,0,0,3,0,0,5,4,0,4,SPEAKER_00
75.0,105.0,0,1,0,0,0,0,1,4,0,0,7,1,0,4,SPEAKER_00
90.0,120.0,0,2,0,0,1,0,1,7,0,0,2,1,0,3,SPEAKER_00
105.0,135.0,0,2,0,0,1,0,0,4,0,0,0,4,0,4,"SPEAKER_00, SPEAKER_01"
120.0,150.0,0,2,0,0,0,0,0,2,0,0,0,4,0,2,"SPEAKER_00, SPEAKER_01"
135.0,165.0,0,4,0,0,1,0,0,4,0,0,0,1,0,0,"SPEAKER_01, SPEAKER_03, SPEAKER_06"
150.0,180.0,0,4,0,0,1,0,0,3,0,0,0,1,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
165.0,195.0,0,5,0,0,1,0,0,1,0,0,0,1,0,3,"SPEAKER_03, SPEAKER_06, SPEAKER_08"
180.0,210.0,0,5,0,0,1,0,0,1,0,0,1,1,0,4,"SPEAKER_01, SPEAKER_06"
195.0,225.0,0,1,0,0,1,0,0,2,0,0,1,1,0,4,"SPEAKER_01, SPEAKER_03, SPEAKER_06"
210.0,240.0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_03, SPEAKER_06"
225.0,255.0,0,1,0,0,6,0,0,0,0,0,0,0,0,3,"SPEAKER_02, SPEAKER_03, SPEAKER_06"
240.0,270.0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,SPEAKER_06
255.0,285.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,SPEAKER_06
270.0,300.0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,"SPEAKER_03, SPEAKER_06"
285.0,315.0,0,2,0,0,7,0,0,1,0,0,0,1,0,3,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
300.0,330.0,0,2,0,0,5,0,0,1,0,0,0,1,0,0,"SPEAKER_03, SPEAKER_07"
330.0,360.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,SPEAKER_03
345.0,375.0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
360.0,390.0,0,2,0,0,2,0,0,3,1,0,0,0,0,1,"SPEAKER_03, SPEAKER_06, SPEAKER_07"
375.0,405.0,0,1,0,0,4,0,0,3,1,0,0,0,0,1,"SPEAKER_02, SPEAKER_03"
390.0,420.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,SPEAKER_02
405.0,435.0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,SPEAKER_03
420.0,450.0,0,0,1,0,3,0,0,2,1,0,0,0,0,1,"SPEAKER_03, SPEAKER_06"
435.0,465.0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,"SPEAKER_06, SPEAKER_07"
450.0,480.0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,"SPEAKER_05, SPEAKER_06, SPEAKER_07"
465.0,495.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"SPEAKER_05, SPEAKER_06"
480.0,510.0,0,2,0,0,1,0,0,1,2,0,0,1,0,0,SPEAKER_06
495.0,525.0,0,1,0,0,3,0,0,2,2,0,0,1,0,1,"SPEAKER_02, SPEAKER_06"
510.0,540.0,0,0,0,0,3,0,0,3,0,0,1,0,0,2,"SPEAKER_02, SPEAKER_03, SPEAKER_06"
525.0,555.0,0,0,0,0,2,0,0,3,0,0,1,0,0,1,"SPEAKER_03, SPEAKER_06"
540.0,570.0,0,2,0,0,7,0,0,2,0,0,0,0,0,3,SPEAKER_03
555.0,585.0,0,3,0,0,8,0,0,3,2,0,0,0,0,3,"SPEAKER_03, SPEAKER_06"
570.0,600.0,0,1,0,0,4,0,0,3,2,0,0,0,0,0,"SPEAKER_03, SPEAKER_06"
585.0,615.0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06"
600.0,630.0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,"SPEAKER_03, SPEAKER_06"
615.0,645.0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,SPEAKER_06
630.0,660.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_06"
