speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLLaptop,150.0,180.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
CSLLaptop,165.0,195.0,0,0,1,0,0,1,0,0,1,2,0,0,0,0
CSLLaptop,180.0,210.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,210.0,240.0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
CSLLaptop,225.0,255.0,0,0,1,0,0,0,0,0,0,5,0,0,0,0
CSLLaptop,240.0,270.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,285.0,315.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,300.0,330.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
CSLLaptop,315.0,345.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLLaptop,345.0,375.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
CSLLaptop,360.0,390.0,0,0,2,2,0,0,0,0,0,1,0,1,0,1
CSLLaptop,375.0,405.0,0,0,2,2,0,0,0,0,1,3,0,0,1,0
CSLLaptop,390.0,420.0,0,0,1,0,0,0,0,0,1,2,0,0,1,0
CSLLaptop,405.0,435.0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
CSLLaptop,420.0,450.0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
CSLLaptop,435.0,465.0,0,0,0,0,0,0,1,0,1,2,0,0,1,0
CSLLaptop,450.0,480.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,465.0,495.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,495.0,525.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,510.0,540.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,525.0,555.0,0,0,3,0,0,0,0,0,1,2,0,0,0,0
CSLLaptop,540.0,570.0,0,0,4,0,0,0,0,0,2,2,0,0,0,0
CSLLaptop,555.0,585.0,0,0,5,0,0,0,0,0,3,8,0,0,1,0
CSLLaptop,570.0,600.0,0,0,2,0,0,0,0,0,2,6,0,0,1,0
CSLLaptop,585.0,615.0,0,0,0,0,0,0,0,0,0,5,0,0,1,0
CSLLaptop,600.0,630.0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CSLLaptop,615.0,645.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,630.0,660.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLLaptop,645.0,675.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLLaptop,660.0,690.0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
CSLLaptop,675.0,705.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,720.0,750.0,0,0,2,1,0,1,0,0,2,3,0,0,1,0
CSLLaptop,735.0,765.0,0,0,2,1,0,1,0,0,2,3,0,0,1,0
CSLLaptop,750.0,780.0,0,0,2,0,0,1,0,0,2,2,0,0,1,0
CSLLaptop,765.0,795.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,780.0,810.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,810.0,840.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,825.0,855.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
