speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
CSLPC,135.0,165.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,150.0,180.0,0,0,0,4,0,0,0,0,2,0,0,0,0,0
CSLPC,165.0,195.0,0,0,0,4,0,0,1,0,2,0,0,0,0,0
CSLPC,180.0,210.0,0,0,0,5,0,0,2,0,0,0,0,0,0,0
CSLPC,195.0,225.0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
CSLPC,225.0,255.0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
CSLPC,240.0,270.0,0,0,3,1,0,1,3,0,0,0,0,0,0,0
CSLPC,255.0,285.0,0,0,2,1,0,1,1,0,0,0,0,0,0,0
CSLPC,270.0,300.0,0,0,1,0,0,0,2,0,1,0,0,0,0,0
CSLPC,285.0,315.0,0,0,1,0,0,0,3,0,1,0,0,0,0,0
CSLPC,300.0,330.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLPC,360.0,390.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,375.0,405.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,435.0,465.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
CSLPC,450.0,480.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
CSLPC,480.0,510.0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
CSLPC,495.0,525.0,0,0,1,2,0,1,0,0,1,0,0,0,0,2
CSLPC,510.0,540.0,0,0,2,0,0,1,1,0,2,0,0,1,0,1
CSLPC,525.0,555.0,0,0,3,0,0,0,2,0,3,0,0,1,0,0
CSLPC,540.0,570.0,0,0,2,0,0,0,1,0,2,0,0,0,0,0
CSLPC,570.0,600.0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
CSLPC,585.0,615.0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
CSLPC,600.0,630.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,615.0,645.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1
CSLPC,630.0,660.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
CSLPC,690.0,720.0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
CSLPC,705.0,735.0,0,2,1,1,0,0,2,0,1,0,0,0,0,0
CSLPC,720.0,750.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLPC,750.0,780.0,0,0,1,2,1,0,0,0,2,0,0,0,0,0
CSLPC,765.0,795.0,0,0,2,2,2,0,0,0,3,0,0,0,0,0
CSLPC,780.0,810.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
CSLPC,900.0,930.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
CSLPC,915.0,945.0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
CSLPC,945.0,975.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
