speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
HCILab2,225.0,255.0,0,0,5,1,0,1,0,0,3,0,0,0,0,0
HCILab2,240.0,270.0,0,0,11,2,0,2,1,0,3,0,0,0,0,0
HCILab2,255.0,285.0,0,0,9,1,0,1,2,0,1,0,0,0,0,0
HCILab2,270.0,300.0,0,0,3,0,0,0,1,0,1,0,0,0,0,0
HCILab2,315.0,345.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HCILab2,330.0,360.0,0,0,1,0,0,0,3,0,0,0,0,0,0,0
HCILab2,345.0,375.0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
HCILab2,375.0,405.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HCILab2,390.0,420.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
HCILab2,405.0,435.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
HCILab2,420.0,450.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HCILab2,435.0,465.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HCILab2,480.0,510.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab2,495.0,525.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
HCILab2,510.0,540.0,0,0,5,2,0,1,1,1,1,0,0,1,0,0
HCILab2,525.0,555.0,0,0,5,1,0,0,1,1,0,0,0,1,0,0
HCILab2,540.0,570.0,0,0,4,3,0,1,0,0,1,0,0,0,0,1
HCILab2,555.0,585.0,0,0,6,3,0,2,1,0,1,1,0,0,0,1
HCILab2,570.0,600.0,0,0,6,0,0,1,2,0,1,1,0,0,0,0
HCILab2,585.0,615.0,0,0,7,0,0,0,1,0,1,0,0,0,0,0
HCILab2,600.0,630.0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
HCILab2,615.0,645.0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
HCILab2,630.0,660.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
HCILab2,720.0,750.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HCILab2,735.0,765.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
HCILab2,750.0,780.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HCILab2,765.0,795.0,0,0,4,0,0,0,1,0,1,0,0,0,0,0
HCILab2,780.0,810.0,0,0,4,0,0,0,1,0,3,1,0,0,0,0
HCILab2,795.0,825.0,0,0,2,0,0,0,0,0,2,1,0,0,0,0
HCILab2,930.0,960.0,0,1,5,0,0,0,0,0,0,0,0,3,0,0
HCILab2,945.0,975.0,0,1,5,0,0,0,0,0,0,0,0,3,0,0
HCILab2,1035.0,1065.0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
