window_start,window_end,P11_TMA,P32_IMO,P21_AMP,P12_TGS,P24_ACO,P20_ACT,P100_OVERALL,P22_ASM,P31_ICM,P13_TSF,P33_IAM,P30_INTER,P23_ATM,P10_TRANS,speaker
0.0,30.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,SPEAKER_02
45.0,75.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,SPEAKER_02
60.0,90.0,0,0,0,0,0,5,1,1,0,1,0,0,0,3,SPEAKER_02
75.0,105.0,0,0,0,0,0,9,2,1,0,2,0,3,0,3,SPEAKER_02
90.0,120.0,0,0,0,0,0,8,4,0,0,5,0,5,0,3,SPEAKER_02
105.0,135.0,0,0,0,0,1,3,3,4,0,4,0,2,0,5,SPEAKER_02
120.0,150.0,1,0,0,0,1,2,1,6,0,1,0,0,0,5,SPEAKER_02
135.0,165.0,1,0,0,0,0,3,1,2,0,1,0,2,0,7,"SPEAKER_02, SPEAKER_06"
150.0,180.0,0,0,0,0,0,4,1,0,0,1,0,3,0,5,"SPEAKER_02, SPEAKER_06"
165.0,195.0,0,0,0,0,0,2,1,0,0,1,0,2,0,1,"SPEAKER_02, SPEAKER_06"
180.0,210.0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,"SPEAKER_04, SPEAKER_06, SPEAKER_07"
195.0,225.0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
210.0,240.0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,SPEAKER_00
225.0,255.0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,"SPEAKER_00, SPEAKER_05"
240.0,270.0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_05, SPEAKER_06, SPEAKER_07"
255.0,285.0,1,0,0,0,0,3,1,0,0,4,0,0,0,3,"SPEAKER_00, SPEAKER_06, SPEAKER_07"
270.0,300.0,1,0,0,0,0,3,0,1,0,4,0,0,1,5,SPEAKER_06
285.0,315.0,0,0,0,0,0,3,2,1,0,0,0,0,2,4,"SPEAKER_04, SPEAKER_06"
300.0,330.0,0,0,1,0,0,1,3,0,0,0,0,4,1,1,"SPEAKER_04, SPEAKER_06"
315.0,345.0,0,0,1,0,0,0,2,0,0,0,0,8,0,0,"SPEAKER_04, SPEAKER_07"
330.0,360.0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
345.0,375.0,0,0,1,0,0,3,0,0,0,0,0,5,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
360.0,390.0,0,0,0,0,0,3,0,0,0,0,0,11,0,1,"SPEAKER_00, SPEAKER_04"
375.0,405.0,0,0,0,0,0,0,1,0,0,0,0,12,0,1,SPEAKER_04
390.0,420.0,0,0,0,0,0,0,1,1,0,0,0,12,0,1,"SPEAKER_00, SPEAKER_04"
405.0,435.0,0,0,0,0,0,0,1,1,0,0,0,9,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_05"
420.0,450.0,1,0,1,0,0,0,2,0,0,0,0,3,0,2,"SPEAKER_00, SPEAKER_04, SPEAKER_05"
435.0,465.0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,"SPEAKER_00, SPEAKER_04"
450.0,480.0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,"SPEAKER_00, SPEAKER_04"
465.0,495.0,0,0,0,0,0,1,2,0,0,2,0,1,1,0,"SPEAKER_00, SPEAKER_04, SPEAKER_06"
480.0,510.0,0,0,0,0,0,2,1,0,0,2,0,1,1,1,"SPEAKER_04, SPEAKER_06"
495.0,525.0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,"SPEAKER_04, SPEAKER_05, SPEAKER_06"
510.0,540.0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,"SPEAKER_03, SPEAKER_05, SPEAKER_06"
525.0,555.0,0,0,0,0,0,9,0,0,0,0,0,1,1,2,"SPEAKER_00, SPEAKER_03, SPEAKER_06"
540.0,570.0,0,0,1,0,0,9,1,0,0,0,0,1,1,1,"SPEAKER_00, SPEAKER_06"
555.0,585.0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,SPEAKER_06
570.0,600.0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,SPEAKER_06
585.0,615.0,0,0,0,0,0,6,5,1,0,0,0,1,0,1,SPEAKER_06
600.0,630.0,0,0,0,0,0,3,4,0,0,1,0,2,0,1,SPEAKER_06
615.0,645.0,0,0,0,0,0,2,2,0,0,1,0,2,0,1,SPEAKER_06
630.0,660.0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,SPEAKER_06
645.0,675.0,0,0,0,0,0,2,3,1,0,1,0,1,0,1,"SPEAKER_02, SPEAKER_03, SPEAKER_06"
660.0,690.0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,"SPEAKER_00, SPEAKER_02, SPEAKER_03, SPEAKER_06"
675.0,705.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SPEAKER_00
705.0,735.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,SPEAKER_07
720.0,750.0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,SPEAKER_07
735.0,765.0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,"SPEAKER_04, SPEAKER_07"
750.0,780.0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,"SPEAKER_04, SPEAKER_07"
765.0,795.0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
780.0,810.0,0,0,0,0,0,2,0,0,0,1,0,3,0,4,SPEAKER_00
795.0,825.0,0,0,0,0,0,2,0,0,0,1,0,5,0,4,SPEAKER_00
810.0,840.0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,SPEAKER_00
825.0,855.0,0,0,0,0,0,1,0,0,0,0,0,3,0,5,SPEAKER_00
840.0,870.0,0,0,0,0,0,3,1,1,0,0,0,5,0,5,"SPEAKER_00, SPEAKER_07"
855.0,885.0,0,0,0,0,0,3,1,1,0,0,0,4,0,2,"SPEAKER_00, SPEAKER_07"
870.0,900.0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,"SPEAKER_00, SPEAKER_07"
885.0,915.0,0,0,0,0,0,0,2,0,0,4,0,1,0,6,"SPEAKER_00, SPEAKER_05"
900.0,930.0,0,0,0,0,0,2,1,0,0,4,0,2,0,4,"SPEAKER_00, SPEAKER_04, SPEAKER_05"
915.0,945.0,0,0,0,0,0,4,0,1,0,1,0,2,0,1,"SPEAKER_01, SPEAKER_04"
930.0,960.0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,SPEAKER_01
945.0,975.0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,SPEAKER_01
960.0,990.0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,"SPEAKER_01, SPEAKER_07"
975.0,1005.0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,"SPEAKER_01, SPEAKER_04, SPEAKER_07"
990.0,1020.0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,"SPEAKER_01, SPEAKER_04"
1005.0,1035.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,"SPEAKER_01, SPEAKER_04"
1035.0,1065.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,SPEAKER_01
1050.0,1080.0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,SPEAKER_01
1065.0,1095.0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,SPEAKER_01
1080.0,1110.0,0,0,0,0,1,2,1,0,0,1,0,1,0,1,SPEAKER_01
1095.0,1125.0,0,0,0,0,1,3,2,0,0,1,0,2,0,2,"SPEAKER_00, SPEAKER_01, SPEAKER_05"
1110.0,1140.0,0,0,0,0,0,2,1,1,0,0,0,5,0,1,"SPEAKER_00, SPEAKER_01, SPEAKER_05"
1125.0,1155.0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,"SPEAKER_00, SPEAKER_01"
1140.0,1170.0,0,0,1,0,0,1,0,1,0,1,0,7,0,0,SPEAKER_00
1155.0,1185.0,0,0,1,0,0,1,0,1,0,3,0,7,0,1,"SPEAKER_00, SPEAKER_03, SPEAKER_04, SPEAKER_05"
1170.0,1200.0,0,0,0,0,0,0,0,1,0,2,0,4,0,1,"SPEAKER_00, SPEAKER_03, SPEAKER_04, SPEAKER_05"
1245.0,1275.0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,SPEAKER_07
1260.0,1290.0,0,0,0,0,0,1,3,1,0,0,0,1,0,2,"SPEAKER_03, SPEAKER_07"
1275.0,1305.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"SPEAKER_03, SPEAKER_07"
1545.0,1575.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_04
1560.0,1590.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_04
1575.0,1605.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,SPEAKER_01
1590.0,1620.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,SPEAKER_01
1785.0,1815.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,SPEAKER_00
1800.0,1830.0,0,0,1,1,0,1,0,1,0,0,0,4,0,1,SPEAKER_00
1815.0,1845.0,0,0,1,1,0,1,0,1,0,0,0,5,0,2,"SPEAKER_00, SPEAKER_07"
1830.0,1860.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
1845.0,1875.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SPEAKER_04
1935.0,1965.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,SPEAKER_00
1950.0,1980.0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,SPEAKER_00
1965.0,1995.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,SPEAKER_00
1980.0,2010.0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,SPEAKER_00
1995.0,2025.0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,"SPEAKER_00, SPEAKER_01, SPEAKER_07"
2010.0,2040.0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"SPEAKER_01, SPEAKER_05, SPEAKER_07"
2025.0,2055.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_05"
2040.0,2070.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,SPEAKER_00
2055.0,2085.0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,"SPEAKER_00, SPEAKER_04"
2070.0,2100.0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,"SPEAKER_00, SPEAKER_04, SPEAKER_07"
2085.0,2115.0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,"SPEAKER_00, SPEAKER_07"
2325.0,2355.0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,SPEAKER_00
