window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF,speaker
165.0,195.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Chris
180.0,210.0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,"CSLLaptop, Chris, HCILab2"
195.0,225.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,"CSLLaptop, HCILab2"
210.0,240.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,CSLLaptop
225.0,255.0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,"CSLLaptop, HCILab1"
240.0,270.0,0,0,2,0,0,0,0,0,0,1,3,1,0,0,"CSLLaptop, HCILab1"
255.0,285.0,0,0,2,0,0,0,0,0,0,1,2,2,0,2,"CSLLaptop, Chris, HCILab1"
270.0,300.0,0,0,1,1,0,0,0,0,0,1,5,3,0,4,"CSLLaptop, Chris, HCILab1"
285.0,315.0,0,0,0,1,1,0,0,0,1,0,3,4,0,2,Chris
300.0,330.0,0,0,3,0,2,1,0,0,1,1,1,2,0,0,"Chris, HCILab2"
315.0,345.0,0,0,9,0,1,1,0,0,0,2,1,0,0,0,"Chris, HCILab2"
330.0,360.0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,"CSLLaptop, HCILab2"
345.0,375.0,0,0,4,0,0,1,0,0,0,1,1,2,0,0,"CSLLaptop, HCILab1, HCILab2"
360.0,390.0,0,0,7,0,0,1,0,0,0,0,1,3,0,0,"HCILab1, HCILab2"
375.0,405.0,0,0,12,0,0,0,0,0,0,0,1,1,0,0,"HCILab1, HCILab2"
390.0,420.0,0,0,13,0,0,0,0,0,0,1,2,0,0,0,HCILab2
405.0,435.0,0,0,12,0,0,0,0,0,1,1,1,0,0,0,"HCILab1, HCILab2"
420.0,450.0,0,0,5,0,0,0,0,0,1,1,2,1,0,0,"HCILab1, HCILab2"
435.0,465.0,0,0,0,1,0,1,0,0,0,3,2,1,0,0,"HCILab1, HCILab2"
450.0,480.0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,"HCILab1, HCILab2"
465.0,495.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,HCILab1
480.0,510.0,0,0,1,0,1,0,0,0,0,3,0,2,0,2,"Chris, HCILab1, HCILab2"
495.0,525.0,0,0,1,0,1,0,0,0,0,2,1,2,0,2,"Chris, HCILab2"
510.0,540.0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,"Chris, HCILab2"
