window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT,speaker
0.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_02
15.0,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SPEAKER_02
30.0,60.0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,SPEAKER_01
45.0,75.0,0,2,0,0,1,0,0,2,0,0,1,1,0,6,SPEAKER_01
60.0,90.0,0,2,0,0,3,0,0,2,0,0,1,2,0,9,SPEAKER_01
75.0,105.0,0,4,0,0,5,0,0,5,0,1,1,4,0,7,SPEAKER_01
90.0,120.0,0,3,0,0,2,0,0,5,0,1,6,3,0,5,SPEAKER_01
105.0,135.0,0,1,0,0,1,0,1,8,0,1,5,2,0,6,SPEAKER_01
120.0,150.0,0,2,0,0,1,0,1,6,0,0,0,2,0,8,SPEAKER_01
135.0,165.0,0,2,0,0,0,0,0,0,0,0,1,1,0,4,SPEAKER_01
150.0,180.0,0,1,0,0,0,0,0,1,0,0,1,2,0,2,SPEAKER_01
165.0,195.0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,SPEAKER_01
180.0,210.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SPEAKER_01
210.0,240.0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,SPEAKER_01
225.0,255.0,1,2,0,0,1,0,1,0,0,0,0,4,0,5,"SPEAKER_01, SPEAKER_04"
240.0,270.0,2,1,0,0,4,0,1,0,0,0,0,2,0,5,"SPEAKER_01, SPEAKER_04"
255.0,285.0,1,3,0,0,4,0,0,0,0,0,0,1,0,3,SPEAKER_01
270.0,300.0,0,7,0,0,1,0,0,0,0,0,1,2,0,2,SPEAKER_01
285.0,315.0,0,5,0,0,0,1,0,2,0,0,2,2,0,2,SPEAKER_01
300.0,330.0,0,1,0,0,1,1,0,4,0,0,1,1,0,2,"SPEAKER_01, SPEAKER_02, SPEAKER_04"
315.0,345.0,0,1,0,0,4,0,0,2,0,0,0,0,0,1,"SPEAKER_02, SPEAKER_04"
330.0,360.0,0,0,0,0,7,0,0,1,2,0,0,0,0,2,"SPEAKER_02, SPEAKER_04"
345.0,375.0,1,0,0,0,7,0,0,1,2,0,1,0,0,1,"SPEAKER_02, SPEAKER_04"
360.0,390.0,1,1,0,0,5,0,0,1,0,0,1,0,0,1,"SPEAKER_02, SPEAKER_04"
375.0,405.0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,"SPEAKER_02, SPEAKER_04"
390.0,420.0,0,2,0,0,3,0,1,0,0,0,1,0,0,4,"SPEAKER_00, SPEAKER_02"
405.0,435.0,0,1,0,0,5,0,2,2,0,0,1,0,0,2,"SPEAKER_00, SPEAKER_02"
420.0,450.0,0,0,0,0,4,0,1,2,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_02"
435.0,465.0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,"SPEAKER_00, SPEAKER_02"
450.0,480.0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,"SPEAKER_00, SPEAKER_02"
465.0,495.0,1,0,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_02"
480.0,510.0,1,2,0,0,4,0,0,1,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
495.0,525.0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,"SPEAKER_00, SPEAKER_02, SPEAKER_04"
510.0,540.0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,"SPEAKER_00, SPEAKER_02"
525.0,555.0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,SPEAKER_00
