speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_02,0.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,15.0,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,300.0,330.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,315.0,345.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
SPEAKER_02,330.0,360.0,0,0,0,0,5,0,0,1,2,0,0,0,0,2
SPEAKER_02,345.0,375.0,0,0,0,0,4,0,0,0,2,0,0,0,0,1
SPEAKER_02,360.0,390.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_02,375.0,405.0,0,1,0,0,2,0,0,0,0,0,0,0,0,4
SPEAKER_02,390.0,420.0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
SPEAKER_02,405.0,435.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,420.0,450.0,0,0,0,0,2,0,0,1,0,0,0,0,0,1
SPEAKER_02,435.0,465.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_02,450.0,480.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_02,465.0,495.0,1,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_02,480.0,510.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,495.0,525.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_02,510.0,540.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_02,555.0,585.0,0,0,0,0,3,0,0,1,1,0,0,0,0,0
SPEAKER_02,570.0,600.0,0,0,0,0,3,0,0,1,1,0,0,0,0,0
SPEAKER_02,675.0,705.0,0,3,0,0,0,0,0,1,0,0,0,0,0,2
SPEAKER_02,690.0,720.0,0,4,0,0,1,0,0,2,0,0,0,0,0,2
SPEAKER_02,705.0,735.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_02,825.0,855.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SPEAKER_02,840.0,870.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SPEAKER_02,870.0,900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_02,885.0,915.0,0,3,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_02,900.0,930.0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_02,915.0,945.0,0,1,0,0,2,0,0,0,0,0,0,0,0,5
SPEAKER_02,930.0,960.0,0,1,0,0,1,0,0,0,0,0,0,1,0,5
SPEAKER_02,945.0,975.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
SPEAKER_02,960.0,990.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2
SPEAKER_02,975.0,1005.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2
SPEAKER_02,990.0,1020.0,0,1,0,0,4,0,0,2,0,0,0,0,0,1
SPEAKER_02,1005.0,1035.0,0,3,0,0,4,0,0,2,0,0,0,1,0,1
SPEAKER_02,1020.0,1050.0,0,3,0,0,2,0,0,0,0,0,0,1,0,2
SPEAKER_02,1035.0,1065.0,1,2,0,0,3,0,1,0,0,0,0,0,0,4
SPEAKER_02,1050.0,1080.0,1,1,0,0,2,0,2,0,0,0,0,0,0,3
SPEAKER_02,1065.0,1095.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
SPEAKER_02,1095.0,1125.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,1110.0,1140.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,1125.0,1155.0,0,1,0,0,0,0,0,2,0,0,0,2,0,0
SPEAKER_02,1140.0,1170.0,0,1,0,1,0,0,0,3,0,0,0,3,0,1
SPEAKER_02,1155.0,1185.0,1,0,0,1,1,1,0,2,1,0,0,1,1,2
SPEAKER_02,1170.0,1200.0,1,3,0,0,4,1,0,2,1,0,3,0,1,2
SPEAKER_02,1185.0,1215.0,0,6,0,0,4,1,0,2,0,0,3,0,0,2
SPEAKER_02,1200.0,1230.0,1,3,0,0,1,1,0,3,0,0,0,0,0,2
SPEAKER_02,1215.0,1245.0,1,0,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_02,1260.0,1290.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SPEAKER_02,1275.0,1305.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SPEAKER_02,1290.0,1320.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_02,1305.0,1335.0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_02,1425.0,1455.0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
SPEAKER_02,1440.0,1470.0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
SPEAKER_02,1455.0,1485.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,1470.0,1500.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_02,1485.0,1515.0,0,1,0,0,0,0,0,3,0,0,1,0,0,1
SPEAKER_02,1500.0,1530.0,0,1,0,0,0,0,0,2,0,0,1,1,0,1
SPEAKER_02,1515.0,1545.0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
SPEAKER_02,1530.0,1560.0,0,2,0,0,1,0,0,0,0,0,0,0,2,0
SPEAKER_02,1545.0,1575.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,1560.0,1590.0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_02,1575.0,1605.0,0,4,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_02,1590.0,1620.0,0,3,0,0,0,0,0,0,0,0,0,1,0,3
SPEAKER_02,1605.0,1635.0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
SPEAKER_02,1620.0,1650.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,1635.0,1665.0,0,0,0,0,1,0,0,2,0,0,0,1,0,1
SPEAKER_02,1650.0,1680.0,1,0,0,0,0,0,0,3,0,0,0,1,1,3
SPEAKER_02,1665.0,1695.0,1,1,0,0,0,0,0,2,0,0,0,0,2,3
SPEAKER_02,1680.0,1710.0,0,2,0,0,0,0,0,1,0,0,0,0,2,1
SPEAKER_02,1695.0,1725.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_02,1710.0,1740.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_02,3450.0,3480.0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_02,3465.0,3495.0,1,1,0,0,1,0,0,2,0,0,0,0,0,3
SPEAKER_02,3480.0,3510.0,1,0,0,0,3,0,0,2,0,0,0,0,0,1
SPEAKER_02,3495.0,3525.0,0,2,0,0,4,0,0,1,0,0,1,0,0,1
SPEAKER_02,3510.0,3540.0,0,4,0,0,2,1,0,1,0,0,1,0,0,1
SPEAKER_02,3525.0,3555.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
SPEAKER_02,3585.0,3615.0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
SPEAKER_02,3600.0,3630.0,0,0,0,0,1,0,0,2,0,0,0,1,1,2
SPEAKER_02,3615.0,3645.0,0,0,0,0,2,0,0,2,0,0,0,0,0,5
SPEAKER_02,3630.0,3660.0,2,0,0,0,3,0,0,0,0,0,0,0,0,5
SPEAKER_02,3645.0,3675.0,2,0,0,0,1,0,0,1,0,0,0,1,0,2
SPEAKER_02,3660.0,3690.0,0,2,0,0,1,0,0,3,1,0,0,1,0,2
SPEAKER_02,3675.0,3705.0,0,2,0,0,3,0,0,2,1,0,0,0,0,1
SPEAKER_02,3690.0,3720.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_02,3705.0,3735.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_02,3720.0,3750.0,1,2,0,0,1,0,0,1,0,0,0,1,0,3
SPEAKER_02,3735.0,3765.0,1,3,0,0,0,0,0,4,0,0,0,2,0,4
SPEAKER_02,3750.0,3780.0,0,1,0,0,1,0,0,3,0,0,0,1,0,1
SPEAKER_02,3765.0,3795.0,1,1,0,0,2,0,0,1,0,0,0,0,0,3
SPEAKER_02,3780.0,3810.0,1,1,0,0,1,0,0,0,0,0,0,0,0,3
SPEAKER_02,3840.0,3870.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2
SPEAKER_02,3855.0,3885.0,0,1,0,0,2,0,0,1,0,0,0,0,0,2
SPEAKER_02,3870.0,3900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_02,3885.0,3915.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_02,3900.0,3930.0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_02,3915.0,3945.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_02,3930.0,3960.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
SPEAKER_02,3945.0,3975.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
