speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
CSLPC,1005.0,1035.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLPC,1020.0,1050.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLPC,1950.0,1980.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLPC,1965.0,1995.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLPC,2205.0,2235.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLPC,2220.0,2250.0,2,1,0,0,0,2,0,0,0,0,1,0,0,0
CSLPC,2235.0,2265.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
CSLPC,2250.0,2280.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2265.0,2295.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2280.0,2310.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
CSLPC,2295.0,2325.0,0,1,0,0,0,3,0,0,0,0,1,0,0,0
CSLPC,2310.0,2340.0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
