speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
Chris,15.0,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris,30.0,60.0,2,1,0,0,0,3,0,0,0,0,1,0,0,0
Chris,45.0,75.0,2,10,0,0,1,3,0,0,0,0,2,1,0,0
Chris,60.0,90.0,2,9,0,0,1,3,0,0,0,0,3,2,0,0
Chris,75.0,105.0,5,9,0,0,1,4,0,0,0,0,5,4,0,1
Chris,90.0,120.0,8,5,0,0,6,4,0,0,0,1,3,3,0,1
Chris,105.0,135.0,10,7,0,0,6,1,0,0,0,1,1,2,0,1
Chris,120.0,150.0,7,9,0,0,0,2,0,0,0,1,1,2,0,0
Chris,135.0,165.0,1,8,0,0,1,2,0,0,0,0,0,2,0,0
Chris,150.0,180.0,1,2,0,0,1,1,0,0,0,0,0,2,0,0
Chris,165.0,195.0,1,2,0,0,1,0,0,0,0,0,1,2,0,0
Chris,180.0,210.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Chris,195.0,225.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris,210.0,240.0,0,1,0,0,0,1,0,0,0,0,0,2,0,0
Chris,225.0,255.0,0,2,1,0,0,1,0,0,0,1,0,2,0,0
Chris,240.0,270.0,0,2,2,0,0,1,0,0,0,1,3,0,0,0
Chris,255.0,285.0,0,3,1,0,0,3,0,0,0,0,4,1,0,0
Chris,270.0,300.0,0,3,0,0,1,7,0,0,0,0,1,3,0,0
Chris,285.0,315.0,2,1,0,0,2,5,0,1,0,0,0,2,0,0
Chris,300.0,330.0,2,1,0,0,1,1,0,1,0,0,0,1,0,0
Chris,780.0,810.0,3,1,0,0,0,1,0,0,0,0,0,1,0,0
Chris,795.0,825.0,3,2,0,0,0,1,0,0,0,0,0,3,0,0
Chris,810.0,840.0,3,2,0,0,0,1,0,0,0,0,0,3,0,0
Chris,825.0,855.0,1,1,0,0,0,1,0,0,0,0,0,2,0,0
Chris,840.0,870.0,0,6,0,0,0,3,0,0,0,0,3,4,0,0
Chris,855.0,885.0,0,6,0,0,0,3,0,0,0,0,3,4,0,0
Chris,870.0,900.0,0,3,1,0,0,1,0,0,0,0,4,3,0,0
Chris,885.0,915.0,0,3,1,0,0,1,0,0,0,0,4,3,0,0
Chris,945.0,975.0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
Chris,960.0,990.0,0,2,0,0,0,0,0,0,0,0,1,1,0,0
Chris,3330.0,3360.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3345.0,3375.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3375.0,3405.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3390.0,3420.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3465.0,3495.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Chris,3480.0,3510.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Chris,3795.0,3825.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3810.0,3840.0,2,1,0,0,2,0,0,0,0,0,0,1,0,0
Chris,3825.0,3855.0,2,0,0,0,2,0,0,0,0,0,0,1,0,0
Chris,3885.0,3915.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris,3900.0,3930.0,1,2,0,0,2,3,0,0,0,0,4,0,0,0
Chris,3915.0,3945.0,2,4,0,0,2,2,0,0,0,0,4,0,0,0
Chris,3930.0,3960.0,1,5,0,0,1,1,0,0,0,1,0,0,0,0
Chris,3945.0,3975.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
