speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
HCILab1,315.0,345.0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
HCILab1,330.0,360.0,1,1,0,0,0,0,2,0,0,0,5,0,0,0
HCILab1,345.0,375.0,0,0,0,0,0,0,2,0,0,0,5,0,0,0
HCILab1,360.0,390.0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
HCILab1,375.0,405.0,0,4,0,0,0,1,0,0,0,0,3,0,0,0
HCILab1,390.0,420.0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
HCILab1,405.0,435.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
HCILab1,420.0,450.0,1,1,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,435.0,465.0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,450.0,480.0,1,1,0,0,0,0,0,0,0,0,3,0,0,0
HCILab1,465.0,495.0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
HCILab1,480.0,510.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
HCILab1,495.0,525.0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
HCILab1,510.0,540.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
HCILab1,540.0,570.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,555.0,585.0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
HCILab1,570.0,600.0,1,0,0,0,0,0,1,0,0,0,4,0,0,0
HCILab1,585.0,615.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,660.0,690.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HCILab1,675.0,705.0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
HCILab1,690.0,720.0,1,1,0,0,0,3,0,0,0,0,1,0,0,0
HCILab1,705.0,735.0,1,1,0,0,0,2,0,0,0,0,1,0,0,0
HCILab1,750.0,780.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,765.0,795.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,825.0,855.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,840.0,870.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,870.0,900.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
HCILab1,885.0,915.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
HCILab1,900.0,930.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
HCILab1,915.0,945.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
HCILab1,930.0,960.0,0,4,0,0,0,1,0,0,0,0,0,1,0,0
HCILab1,945.0,975.0,0,3,0,0,0,2,0,0,0,0,2,1,0,0
HCILab1,960.0,990.0,1,3,0,0,0,1,0,0,0,0,2,0,0,0
HCILab1,975.0,1005.0,1,2,0,0,0,1,0,0,0,0,3,0,0,0
HCILab1,990.0,1020.0,1,1,0,0,0,1,0,0,0,0,3,0,0,0
HCILab1,1005.0,1035.0,1,1,0,0,0,2,0,0,0,0,3,0,0,0
HCILab1,1020.0,1050.0,1,4,0,0,0,3,0,0,0,0,4,1,0,0
HCILab1,1035.0,1065.0,0,3,1,0,0,2,0,0,0,1,2,1,0,0
HCILab1,1050.0,1080.0,0,3,1,0,0,2,0,0,0,2,2,0,0,0
HCILab1,1065.0,1095.0,0,1,1,0,0,1,0,0,0,2,1,0,0,0
HCILab1,1125.0,1155.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
HCILab1,1140.0,1170.0,2,1,0,0,0,1,0,0,1,0,1,2,0,0
HCILab1,1155.0,1185.0,3,2,1,1,0,1,1,1,1,0,2,2,0,0
HCILab1,1170.0,1200.0,2,2,1,1,3,3,1,1,0,0,3,0,0,0
HCILab1,1185.0,1215.0,2,2,0,0,3,6,0,1,0,0,3,0,0,0
HCILab1,1200.0,1230.0,4,1,1,0,2,5,0,1,0,0,3,0,0,0
HCILab1,1215.0,1245.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1230.0,1260.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1260.0,1290.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
HCILab1,1275.0,1305.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
HCILab1,1290.0,1320.0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,1305.0,1335.0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,1425.0,1455.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
HCILab1,1440.0,1470.0,1,0,0,0,0,1,0,0,0,0,1,2,0,0
HCILab1,1455.0,1485.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
HCILab1,1470.0,1500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1485.0,1515.0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
HCILab1,1500.0,1530.0,2,1,0,0,1,1,0,0,0,0,0,1,0,0
HCILab1,1515.0,1545.0,0,1,0,1,0,2,0,0,0,0,0,1,0,0
HCILab1,1530.0,1560.0,0,1,0,1,0,2,0,0,0,0,1,1,0,0
HCILab1,1545.0,1575.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,1560.0,1590.0,2,0,0,0,0,3,0,0,0,0,1,1,0,0
HCILab1,1575.0,1605.0,2,2,0,0,0,4,0,0,0,0,1,2,0,0
HCILab1,1590.0,1620.0,2,3,0,0,0,5,0,0,0,0,1,2,0,0
HCILab1,1605.0,1635.0,0,3,0,0,0,2,0,0,0,0,0,1,0,0
HCILab1,1620.0,1650.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
HCILab1,1635.0,1665.0,2,1,0,0,0,0,0,0,0,0,1,1,0,0
HCILab1,1650.0,1680.0,3,3,1,1,0,1,0,0,0,0,1,1,0,0
HCILab1,1665.0,1695.0,2,3,1,2,0,3,0,0,0,0,1,1,0,0
HCILab1,1680.0,1710.0,2,2,0,2,0,3,0,0,0,0,0,0,0,0
HCILab1,1695.0,1725.0,0,1,0,1,0,1,0,0,0,0,2,0,0,0
HCILab1,1710.0,1740.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HCILab1,3450.0,3480.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
HCILab1,3465.0,3495.0,2,3,1,0,1,1,0,0,0,0,4,0,0,0
HCILab1,3480.0,3510.0,2,2,1,0,1,0,0,0,0,0,5,0,0,0
HCILab1,3495.0,3525.0,1,1,1,0,1,2,0,0,0,0,4,0,0,0
HCILab1,3510.0,3540.0,1,1,0,0,1,3,0,1,0,0,2,0,0,0
HCILab1,3525.0,3555.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
HCILab1,3540.0,3570.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,3555.0,3585.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,3585.0,3615.0,2,3,0,1,0,0,0,0,0,0,1,1,0,0
HCILab1,3600.0,3630.0,2,3,0,1,0,0,0,0,0,0,1,1,0,0
HCILab1,3615.0,3645.0,2,4,0,1,0,0,0,0,0,0,2,0,0,0
HCILab1,3630.0,3660.0,3,4,2,1,0,0,0,0,0,0,5,0,0,0
HCILab1,3645.0,3675.0,3,2,2,0,0,1,0,0,0,0,4,1,0,0
HCILab1,3660.0,3690.0,3,2,1,0,0,1,0,0,0,0,2,1,0,0
HCILab1,3675.0,3705.0,2,2,0,0,0,1,0,0,0,0,1,1,0,0
HCILab1,3705.0,3735.0,0,3,1,0,0,1,0,0,0,0,1,0,0,0
HCILab1,3720.0,3750.0,1,4,1,0,0,2,0,0,0,0,1,1,0,0
HCILab1,3735.0,3765.0,5,5,1,0,0,5,0,0,0,0,3,3,0,0
HCILab1,3750.0,3780.0,5,2,0,0,0,4,0,0,0,0,3,3,0,0
HCILab1,3765.0,3795.0,4,4,1,0,0,4,0,0,0,0,4,2,0,0
HCILab1,3780.0,3810.0,4,4,1,0,0,4,0,0,0,0,4,2,0,0
HCILab1,3795.0,3825.0,0,3,1,0,0,1,0,0,0,0,2,0,0,0
HCILab1,3810.0,3840.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,3840.0,3870.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
HCILab1,3855.0,3885.0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,3870.0,3900.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,3885.0,3915.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,3900.0,3930.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HCILab1,3915.0,3945.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HCILab1,3930.0,3960.0,0,0,0,0,0,3,0,0,0,0,5,0,0,0
HCILab1,3945.0,3975.0,0,0,0,0,0,3,0,0,0,0,5,0,0,0
HCILab1,3960.0,3990.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
