speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
Chris,750.0,780.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chris,765.0,795.0,0,0,1,0,0,0,0,0,0,0,1,2,0,0
Chris,780.0,810.0,0,0,2,0,0,0,0,0,1,0,1,4,0,0
Chris,795.0,825.0,0,0,2,0,0,0,0,0,1,1,2,5,0,2
Chris,810.0,840.0,0,0,2,0,0,1,0,0,0,3,2,5,0,2
Chris,825.0,855.0,0,0,2,0,0,1,0,0,0,2,0,3,0,0
Chris,840.0,870.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chris,855.0,885.0,0,0,1,0,0,0,0,0,0,0,0,4,0,0
Chris,870.0,900.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Chris,885.0,915.0,0,0,1,0,1,0,0,0,1,0,5,1,1,1
Chris,900.0,930.0,0,0,1,0,1,0,0,0,1,0,5,1,1,1
