speaker,window_start,window_end,P31_ICM,P24_ACO,P30_INTER,P100_OVERALL,P23_ATM,P13_TSF,P20_ACT,P21_AMP,P10_TRANS,P12_TGS,P11_TMA,P22_ASM,P32_IMO,P33_IAM
CSLLaptop,210.0,240.0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
CSLLaptop,225.0,255.0,0,0,2,1,0,0,4,0,1,0,0,0,1,0
CSLLaptop,240.0,270.0,0,0,2,2,0,1,2,0,2,0,0,0,0,0
CSLLaptop,255.0,285.0,0,1,2,1,0,2,0,0,3,0,0,1,0,0
CSLLaptop,270.0,300.0,0,1,2,0,0,1,0,0,2,0,0,1,0,0
CSLLaptop,285.0,315.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,300.0,330.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
CSLLaptop,315.0,345.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
CSLLaptop,345.0,375.0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
CSLLaptop,360.0,390.0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
CSLLaptop,375.0,405.0,0,0,1,1,0,1,0,0,2,0,0,0,0,0
CSLLaptop,390.0,420.0,0,0,2,1,0,1,3,0,2,0,0,0,0,0
CSLLaptop,405.0,435.0,0,0,2,0,0,0,3,0,0,0,0,0,0,0
CSLLaptop,420.0,450.0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
CSLLaptop,435.0,465.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
CSLLaptop,450.0,480.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
CSLLaptop,465.0,495.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
CSLLaptop,480.0,510.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,495.0,525.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
CSLLaptop,510.0,540.0,0,0,3,0,0,1,1,0,2,0,0,0,0,0
CSLLaptop,525.0,555.0,0,0,3,0,0,1,1,0,1,0,0,0,0,0
CSLLaptop,540.0,570.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,555.0,585.0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
CSLLaptop,570.0,600.0,0,0,2,1,0,0,3,0,0,0,0,1,0,0
CSLLaptop,585.0,615.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,630.0,660.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,645.0,675.0,0,0,3,1,0,0,2,0,0,0,0,0,0,0
CSLLaptop,660.0,690.0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,1005.0,1035.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1020.0,1050.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
CSLLaptop,1035.0,1065.0,0,0,2,1,0,0,1,1,0,0,1,1,0,0
CSLLaptop,1050.0,1080.0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
CSLLaptop,1065.0,1095.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CSLLaptop,1080.0,1110.0,0,0,0,2,0,0,1,1,2,0,0,2,0,0
CSLLaptop,1095.0,1125.0,0,0,0,3,0,0,1,1,3,0,0,2,0,0
CSLLaptop,1110.0,1140.0,0,0,0,2,0,0,0,1,1,0,0,1,0,0
CSLLaptop,1125.0,1155.0,0,0,4,0,0,0,2,0,1,0,1,1,0,0
CSLLaptop,1140.0,1170.0,0,0,4,1,0,0,2,0,5,0,1,0,0,0
CSLLaptop,1155.0,1185.0,0,0,0,1,0,0,0,0,4,0,0,0,0,0
CSLLaptop,1170.0,1200.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
CSLLaptop,1185.0,1215.0,0,0,0,2,0,1,1,2,0,0,0,0,0,0
CSLLaptop,1200.0,1230.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
CSLLaptop,1215.0,1245.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1515.0,1545.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CSLLaptop,1530.0,1560.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
CSLLaptop,1575.0,1605.0,0,0,0,1,0,0,2,0,3,0,0,1,0,0
CSLLaptop,1590.0,1620.0,0,1,1,1,0,0,2,0,3,0,0,1,0,0
CSLLaptop,1605.0,1635.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1620.0,1650.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1635.0,1665.0,0,0,2,2,0,1,0,1,1,1,0,0,0,0
CSLLaptop,1650.0,1680.0,0,0,3,2,0,1,0,1,1,1,0,0,0,0
CSLLaptop,1665.0,1695.0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1680.0,1710.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1695.0,1725.0,0,0,0,2,0,1,3,0,2,0,0,0,0,0
CSLLaptop,1710.0,1740.0,0,0,0,2,0,1,3,0,2,0,0,0,0,0
CSLLaptop,1755.0,1785.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1770.0,1800.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
CSLLaptop,1785.0,1815.0,0,0,0,0,0,2,0,1,3,2,0,0,0,0
CSLLaptop,1800.0,1830.0,0,0,1,1,0,1,0,1,3,2,0,0,0,0
CSLLaptop,1815.0,1845.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1830.0,1860.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1845.0,1875.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1875.0,1905.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1890.0,1920.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
CSLLaptop,1905.0,1935.0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1920.0,1950.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,1935.0,1965.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
CSLLaptop,1950.0,1980.0,0,0,1,2,0,1,1,0,1,0,0,1,0,0
CSLLaptop,1965.0,1995.0,0,0,2,3,0,0,1,0,1,0,0,1,0,0
CSLLaptop,1980.0,2010.0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
CSLLaptop,2055.0,2085.0,0,0,0,0,2,0,3,0,1,0,0,1,0,0
CSLLaptop,2070.0,2100.0,0,0,0,0,2,0,3,0,1,0,0,1,0,0
CSLLaptop,2160.0,2190.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CSLLaptop,2175.0,2205.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
CSLLaptop,2250.0,2280.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CSLLaptop,2265.0,2295.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CSLLaptop,2370.0,2400.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CSLLaptop,2385.0,2415.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CSLLaptop,2400.0,2430.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2415.0,2445.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2460.0,2490.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2475.0,2505.0,0,0,2,3,0,0,1,0,1,0,0,0,0,0
CSLLaptop,2490.0,2520.0,0,0,2,1,0,0,1,0,2,1,1,0,0,0
CSLLaptop,2505.0,2535.0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
CSLLaptop,2520.0,2550.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CSLLaptop,2535.0,2565.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2550.0,2580.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2565.0,2595.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2580.0,2610.0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,2595.0,2625.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,2760.0,2790.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,2775.0,2805.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CSLLaptop,2805.0,2835.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,2820.0,2850.0,0,0,0,2,0,0,1,0,0,2,0,0,0,0
CSLLaptop,2835.0,2865.0,0,0,0,1,0,0,1,0,0,2,0,0,0,0
CSLLaptop,2850.0,2880.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CSLLaptop,2865.0,2895.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CSLLaptop,3030.0,3060.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3045.0,3075.0,0,0,0,2,0,0,0,0,2,1,0,0,0,0
CSLLaptop,3060.0,3090.0,0,0,0,2,1,0,2,0,3,2,0,1,0,0
CSLLaptop,3075.0,3105.0,0,0,0,0,1,0,4,0,1,3,0,1,0,0
CSLLaptop,3090.0,3120.0,0,0,0,0,0,0,4,0,1,1,0,0,0,0
CSLLaptop,3105.0,3135.0,0,0,0,0,0,0,4,0,1,1,0,0,0,0
CSLLaptop,3120.0,3150.0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
CSLLaptop,3150.0,3180.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
CSLLaptop,3165.0,3195.0,0,0,4,1,0,0,1,2,1,0,0,0,0,0
CSLLaptop,3180.0,3210.0,0,0,3,0,0,0,0,1,1,0,0,0,0,0
CSLLaptop,3240.0,3270.0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
CSLLaptop,3255.0,3285.0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
CSLLaptop,3270.0,3300.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLLaptop,3300.0,3330.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
CSLLaptop,3315.0,3345.0,0,0,3,1,0,0,0,1,2,1,0,0,0,0
CSLLaptop,3330.0,3360.0,0,0,2,1,0,0,0,1,1,0,0,0,0,0
CSLLaptop,3345.0,3375.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CSLLaptop,3360.0,3390.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
CSLLaptop,3375.0,3405.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
CSLLaptop,3390.0,3420.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,3405.0,3435.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,3420.0,3450.0,0,0,2,0,0,0,2,0,2,0,0,0,0,0
CSLLaptop,3435.0,3465.0,0,0,2,0,0,0,2,0,2,0,0,0,0,0
CSLLaptop,3450.0,3480.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLLaptop,3465.0,3495.0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
