window_start,window_end,P11_TMA,P32_IMO,P21_AMP,P12_TGS,P24_ACO,P20_ACT,P100_OVERALL,P22_ASM,P31_ICM,P13_TSF,P33_IAM,P30_INTER,P23_ATM,P10_TRANS,speaker
0.0,30.0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,"SPEAKER_04, SPEAKER_06"
15.0,45.0,0,0,0,0,0,0,2,1,0,0,0,1,0,6,SPEAKER_06
30.0,60.0,0,0,1,0,0,2,1,1,0,0,0,5,0,6,"SPEAKER_06, SPEAKER_08"
45.0,75.0,0,0,1,0,0,2,0,0,0,0,0,6,0,1,"SPEAKER_06, SPEAKER_08"
60.0,90.0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,SPEAKER_06
75.0,105.0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,SPEAKER_06
90.0,120.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,SPEAKER_06
105.0,135.0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,"SPEAKER_05, SPEAKER_06"
120.0,150.0,0,0,0,0,0,4,3,1,0,1,0,0,0,2,SPEAKER_05
135.0,165.0,0,0,0,0,0,10,2,1,0,2,0,3,0,2,SPEAKER_05
150.0,180.0,0,0,0,0,0,7,4,0,0,3,0,6,0,3,SPEAKER_05
165.0,195.0,0,0,0,0,1,4,4,5,0,3,0,3,0,6,SPEAKER_05
180.0,210.0,1,0,0,0,1,6,1,6,0,2,0,1,0,9,SPEAKER_05
195.0,225.0,1,0,0,0,0,3,1,2,0,1,0,1,0,8,SPEAKER_05
210.0,240.0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,SPEAKER_05
225.0,255.0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,"SPEAKER_03, SPEAKER_05, SPEAKER_06"
240.0,270.0,0,0,0,0,0,1,1,0,0,1,0,2,0,4,"SPEAKER_03, SPEAKER_05, SPEAKER_06, SPEAKER_07"
255.0,285.0,0,0,0,0,0,1,3,0,0,2,1,5,0,5,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
270.0,300.0,0,0,0,0,0,2,4,0,0,3,1,6,0,3,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
285.0,315.0,1,0,0,0,0,1,2,0,0,3,0,9,0,1,"SPEAKER_03, SPEAKER_07"
300.0,330.0,1,0,0,0,0,0,2,0,0,1,0,10,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
315.0,345.0,0,0,1,0,0,1,1,0,0,0,1,11,0,3,"SPEAKER_07, SPEAKER_08"
330.0,360.0,0,0,1,0,0,2,2,1,0,1,1,10,0,1,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
345.0,375.0,0,0,0,0,0,1,3,1,0,2,0,7,0,2,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
360.0,390.0,0,0,0,0,0,1,2,0,0,1,0,5,0,4,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
375.0,405.0,0,0,0,0,0,1,4,0,0,1,0,4,0,6,"SPEAKER_01, SPEAKER_06, SPEAKER_07, SPEAKER_08"
390.0,420.0,0,0,0,0,0,0,3,0,0,1,0,4,0,4,"SPEAKER_01, SPEAKER_06, SPEAKER_08"
405.0,435.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,SPEAKER_07
420.0,450.0,1,0,0,0,0,2,1,1,0,0,1,2,0,2,SPEAKER_07
435.0,465.0,0,0,0,0,0,3,3,1,0,1,1,4,0,4,"SPEAKER_03, SPEAKER_07"
450.0,480.0,0,0,1,0,0,3,3,0,0,1,0,7,0,4,"SPEAKER_03, SPEAKER_07, SPEAKER_08"
465.0,495.0,0,0,1,0,1,2,0,0,0,1,0,4,0,2,"SPEAKER_03, SPEAKER_08"
