speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
CSLPC,225.0,255.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,240.0,270.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,255.0,285.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,270.0,300.0,0,0,5,0,0,0,0,0,0,1,2,0,0,0
CSLPC,285.0,315.0,0,0,7,0,0,1,0,0,0,2,2,1,0,0
CSLPC,300.0,330.0,0,0,3,0,0,1,0,0,1,1,0,2,0,0
CSLPC,315.0,345.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
CSLPC,330.0,360.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
CSLPC,345.0,375.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CSLPC,435.0,465.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CSLPC,450.0,480.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CSLPC,465.0,495.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,585.0,615.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
CSLPC,600.0,630.0,0,0,1,0,0,0,0,0,0,2,1,2,0,0
CSLPC,615.0,645.0,0,0,2,0,0,0,0,0,0,2,0,1,0,0
CSLPC,630.0,660.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CSLPC,690.0,720.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,705.0,735.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
CSLPC,720.0,750.0,0,0,2,0,0,0,0,0,0,0,1,1,0,1
CSLPC,735.0,765.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
CSLPC,750.0,780.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,765.0,795.0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
CSLPC,780.0,810.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
CSLPC,795.0,825.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CSLPC,810.0,840.0,0,0,1,0,0,0,0,0,1,1,2,2,0,0
CSLPC,825.0,855.0,0,0,1,0,0,0,0,0,1,0,2,1,0,0
CSLPC,840.0,870.0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
CSLPC,855.0,885.0,0,0,4,0,0,0,0,0,0,1,0,0,1,3
CSLPC,870.0,900.0,0,0,2,0,1,0,0,0,0,3,2,1,1,3
CSLPC,885.0,915.0,0,0,2,0,1,0,0,0,0,3,2,1,0,3
CSLPC,900.0,930.0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
CSLPC,945.0,975.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,960.0,990.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,975.0,1005.0,0,0,3,0,0,0,0,0,0,0,1,0,0,1
CSLPC,990.0,1020.0,0,0,3,0,0,0,0,0,0,1,1,0,0,3
CSLPC,1005.0,1035.0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
CSLPC,1110.0,1140.0,0,0,34,0,0,0,0,0,0,0,0,4,1,0
CSLPC,1125.0,1155.0,0,0,74,0,0,0,0,0,0,0,0,4,1,0
CSLPC,1140.0,1170.0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1185.0,1215.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1200.0,1230.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1215.0,1245.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1245.0,1275.0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
CSLPC,1260.0,1290.0,0,0,2,0,0,0,0,0,0,2,1,0,0,0
CSLPC,1275.0,1305.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,1290.0,1320.0,0,0,8,0,0,0,0,0,0,2,2,0,0,0
CSLPC,1305.0,1335.0,0,0,12,0,0,0,0,0,0,3,2,1,0,1
CSLPC,1320.0,1350.0,0,0,4,0,0,0,0,0,0,1,0,1,0,1
CSLPC,1350.0,1380.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1365.0,1395.0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
CSLPC,1380.0,1410.0,0,0,0,0,0,0,0,0,0,2,4,1,0,1
CSLPC,1395.0,1425.0,0,0,3,0,0,0,0,0,0,3,5,2,0,0
CSLPC,1410.0,1440.0,0,0,3,0,0,0,0,0,0,1,1,1,0,0
CSLPC,1470.0,1500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
CSLPC,1485.0,1515.0,0,0,3,0,0,0,1,0,0,2,1,1,2,1
CSLPC,1500.0,1530.0,0,0,2,0,0,0,1,0,0,2,0,1,2,0
CSLPC,1545.0,1575.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1560.0,1590.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,1590.0,1620.0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
CSLPC,1605.0,1635.0,0,0,1,0,0,1,0,0,0,0,0,2,0,0
CSLPC,1635.0,1665.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
CSLPC,1650.0,1680.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
CSLPC,1665.0,1695.0,0,0,1,0,0,0,1,0,0,3,1,0,1,0
CSLPC,1680.0,1710.0,0,0,1,0,0,0,1,0,0,3,1,0,1,0
CSLPC,1695.0,1725.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CSLPC,1710.0,1740.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CSLPC,1740.0,1770.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
CSLPC,1755.0,1785.0,0,0,2,0,0,0,0,0,0,4,0,3,0,0
CSLPC,1770.0,1800.0,0,0,3,0,0,0,0,0,0,5,1,4,0,0
CSLPC,1785.0,1815.0,0,0,1,0,0,0,0,0,0,2,5,3,1,1
CSLPC,1800.0,1830.0,0,0,0,0,0,0,0,0,0,2,4,1,1,1
CSLPC,1815.0,1845.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLPC,1845.0,1875.0,0,0,2,0,0,0,1,0,1,0,0,0,0,1
CSLPC,1860.0,1890.0,0,0,3,0,0,0,3,0,1,1,2,0,0,1
CSLPC,1875.0,1905.0,0,0,1,0,0,0,3,0,0,2,7,2,1,1
CSLPC,1890.0,1920.0,0,0,1,0,0,0,1,0,0,4,6,3,1,1
CSLPC,1905.0,1935.0,0,0,2,0,0,0,0,0,0,3,1,1,0,0
CSLPC,1920.0,1950.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
CSLPC,1935.0,1965.0,0,0,2,0,0,0,3,0,0,4,2,0,0,0
CSLPC,1950.0,1980.0,0,0,2,0,0,0,3,0,0,5,2,0,0,1
CSLPC,1965.0,1995.0,0,0,4,0,0,0,0,0,0,5,1,2,0,1
CSLPC,1980.0,2010.0,0,0,5,0,0,0,0,0,0,3,2,3,0,0
CSLPC,1995.0,2025.0,0,0,3,0,0,0,0,0,0,1,1,1,0,0
CSLPC,2010.0,2040.0,0,0,3,0,0,0,1,0,0,0,0,0,1,2
CSLPC,2025.0,2055.0,0,0,2,0,0,1,1,0,0,3,1,1,1,2
CSLPC,2040.0,2070.0,0,0,0,0,0,1,0,0,0,3,1,1,0,0
CSLPC,2070.0,2100.0,0,0,3,0,0,0,0,0,0,1,3,0,0,0
CSLPC,2085.0,2115.0,0,0,3,0,0,0,0,0,0,6,4,2,0,0
CSLPC,2100.0,2130.0,0,0,3,0,0,0,0,0,0,8,2,4,0,1
CSLPC,2115.0,2145.0,0,0,3,0,0,0,0,0,0,5,2,2,0,2
CSLPC,2130.0,2160.0,0,0,1,0,0,0,0,0,0,4,1,0,1,1
CSLPC,2145.0,2175.0,0,0,3,0,0,0,0,0,0,2,0,0,1,0
CSLPC,2160.0,2190.0,0,0,4,0,0,0,0,0,0,4,1,0,0,0
CSLPC,2175.0,2205.0,0,0,2,0,0,0,0,0,0,8,3,1,0,0
CSLPC,2190.0,2220.0,0,0,1,0,0,0,0,0,0,5,2,1,0,0
CSLPC,2205.0,2235.0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
CSLPC,2220.0,2250.0,0,0,0,0,0,0,0,0,0,2,2,2,0,1
CSLPC,2235.0,2265.0,0,0,3,0,0,0,0,0,0,2,2,3,0,0
CSLPC,2250.0,2280.0,0,0,6,0,0,0,0,0,0,2,2,1,0,0
CSLPC,2265.0,2295.0,0,0,3,0,0,0,0,0,0,3,2,0,0,0
CSLPC,2280.0,2310.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLPC,2295.0,2325.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
CSLPC,2310.0,2340.0,0,0,2,0,1,0,0,0,0,4,1,3,0,0
CSLPC,2325.0,2355.0,0,0,2,0,1,0,0,0,0,2,1,2,0,0
CSLPC,2355.0,2385.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLPC,2370.0,2400.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
CSLPC,2385.0,2415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CSLPC,2400.0,2430.0,0,0,1,0,0,0,1,0,0,0,1,3,0,1
CSLPC,2415.0,2445.0,0,0,1,0,0,0,1,0,0,0,1,3,0,0
CSLPC,2475.0,2505.0,0,0,1,0,0,0,0,0,0,2,1,1,0,0
CSLPC,2490.0,2520.0,0,0,1,0,0,0,0,0,0,2,1,1,0,0
CSLPC,2520.0,2550.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CSLPC,2535.0,2565.0,0,0,1,0,0,0,1,0,0,2,0,0,0,0
CSLPC,2550.0,2580.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
CSLPC,2565.0,2595.0,0,0,3,0,0,0,0,0,0,1,1,0,1,0
CSLPC,2580.0,2610.0,0,0,3,0,1,0,0,0,0,1,1,0,0,0
CSLPC,2595.0,2625.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CSLPC,2640.0,2670.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2655.0,2685.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2670.0,2700.0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
CSLPC,2685.0,2715.0,0,0,1,0,0,0,0,0,0,5,2,0,0,0
CSLPC,2700.0,2730.0,0,0,2,0,0,0,0,0,0,2,1,0,0,0
CSLPC,2715.0,2745.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,2730.0,2760.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
CSLPC,2745.0,2775.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
