speaker,window_start,window_end,P31_ICM,P32_IMO,P30_INTER,P11_TMA,P23_ATM,P21_AMP,P12_TGS,P24_ACO,P22_ASM,P100_OVERALL,P10_TRANS,P20_ACT,P33_IAM,P13_TSF
HCILab1,225.0,255.0,0,0,3,0,0,0,0,0,0,1,1,0,1,0
HCILab1,240.0,270.0,0,0,3,0,0,1,0,0,0,1,2,1,1,1
HCILab1,255.0,285.0,0,0,1,1,0,1,0,0,0,1,1,1,0,1
HCILab1,270.0,300.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
HCILab1,285.0,315.0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
HCILab1,300.0,330.0,0,0,5,0,0,0,0,0,0,0,0,0,1,0
HCILab1,315.0,345.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
HCILab1,330.0,360.0,0,0,1,0,0,0,0,0,0,2,2,0,0,1
HCILab1,345.0,375.0,0,0,2,0,0,0,0,0,0,3,5,0,0,0
HCILab1,360.0,390.0,0,0,2,0,0,0,0,0,0,2,3,0,0,0
HCILab1,375.0,405.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
HCILab1,390.0,420.0,0,0,2,1,0,0,0,0,1,1,2,3,1,0
HCILab1,405.0,435.0,0,0,1,0,0,0,0,0,1,2,4,3,1,0
HCILab1,420.0,450.0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
HCILab1,510.0,540.0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
HCILab1,525.0,555.0,0,0,1,0,0,0,0,0,0,2,1,0,0,0
HCILab1,555.0,585.0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
HCILab1,570.0,600.0,0,0,1,0,0,0,0,0,0,2,3,1,1,1
HCILab1,585.0,615.0,0,0,1,0,0,0,0,0,0,2,1,0,1,0
HCILab1,690.0,720.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,705.0,735.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
HCILab1,720.0,750.0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
HCILab1,735.0,765.0,0,0,1,0,0,0,0,0,0,3,1,3,0,0
HCILab1,750.0,780.0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
HCILab1,780.0,810.0,0,0,4,0,0,0,0,0,0,0,3,0,0,0
HCILab1,795.0,825.0,0,0,5,0,0,0,0,0,0,2,5,0,0,0
HCILab1,810.0,840.0,0,0,1,0,0,0,0,0,0,3,2,0,0,0
HCILab1,825.0,855.0,0,0,2,0,0,0,2,0,0,3,2,2,1,0
HCILab1,840.0,870.0,0,0,2,0,0,0,2,0,0,3,2,2,1,0
HCILab1,855.0,885.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,885.0,915.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCILab1,900.0,930.0,0,0,0,0,1,0,0,1,0,2,3,0,0,0
HCILab1,915.0,945.0,0,0,1,0,1,3,0,1,0,1,4,0,0,1
HCILab1,930.0,960.0,0,0,1,0,1,3,0,0,0,2,3,1,0,1
HCILab1,945.0,975.0,0,0,1,0,1,1,0,0,0,2,1,1,0,1
HCILab1,960.0,990.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
HCILab1,1065.0,1095.0,0,0,2,0,0,0,0,0,0,0,1,1,0,2
HCILab1,1080.0,1110.0,0,0,3,0,0,0,0,0,0,0,1,1,0,2
HCILab1,1095.0,1125.0,0,0,6,0,0,1,0,0,0,1,4,0,0,0
HCILab1,1110.0,1140.0,0,0,6,0,0,1,0,0,0,1,6,0,1,0
HCILab1,1125.0,1155.0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
HCILab1,1245.0,1275.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
HCILab1,1260.0,1290.0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
HCILab1,1275.0,1305.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HCILab1,1290.0,1320.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HCILab1,1305.0,1335.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCILab1,1320.0,1350.0,0,0,3,0,0,0,0,0,1,3,2,0,0,0
HCILab1,1335.0,1365.0,0,0,3,0,0,0,0,0,1,3,3,3,0,0
HCILab1,1350.0,1380.0,0,0,0,0,0,0,0,0,0,2,2,3,0,0
HCILab1,1365.0,1395.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,1410.0,1440.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1425.0,1455.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1530.0,1560.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1545.0,1575.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1575.0,1605.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HCILab1,1590.0,1620.0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
HCILab1,1605.0,1635.0,0,0,3,0,0,1,0,0,1,0,0,0,0,0
HCILab1,1620.0,1650.0,0,0,1,0,0,3,0,0,0,2,0,0,0,0
HCILab1,1635.0,1665.0,0,0,1,0,0,2,0,0,0,3,1,0,0,0
HCILab1,1650.0,1680.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
HCILab1,1680.0,1710.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HCILab1,1695.0,1725.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
HCILab1,1710.0,1740.0,0,0,0,0,0,2,0,0,0,3,1,0,0,0
HCILab1,1725.0,1755.0,0,0,1,0,1,3,0,0,1,4,2,4,0,0
HCILab1,1740.0,1770.0,0,0,2,0,1,1,0,0,1,4,1,6,0,0
HCILab1,1755.0,1785.0,0,0,1,0,0,0,0,0,0,3,0,2,0,0
HCILab1,1770.0,1800.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCILab1,1785.0,1815.0,0,0,3,0,0,0,0,0,0,0,4,0,0,0
HCILab1,1800.0,1830.0,0,0,3,0,0,0,0,0,0,1,4,1,0,0
HCILab1,1815.0,1845.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HCILab1,1980.0,2010.0,0,0,2,0,0,1,0,0,0,2,0,1,0,0
HCILab1,1995.0,2025.0,0,0,3,0,0,1,0,0,0,4,1,1,4,0
HCILab1,2010.0,2040.0,0,0,3,0,0,2,0,0,0,3,3,0,4,1
HCILab1,2025.0,2055.0,0,0,2,0,0,2,0,0,0,1,2,0,0,1
HCILab1,2145.0,2175.0,0,0,0,0,0,1,0,0,0,4,1,1,0,0
HCILab1,2160.0,2190.0,0,0,0,0,0,1,0,0,0,4,1,1,0,0
HCILab1,2190.0,2220.0,0,0,0,0,0,2,0,0,1,1,1,0,0,0
HCILab1,2205.0,2235.0,0,0,2,0,0,2,0,0,1,2,1,0,0,0
HCILab1,2220.0,2250.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2265.0,2295.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
HCILab1,2280.0,2310.0,0,0,2,0,0,0,0,0,3,3,0,3,0,0
HCILab1,2295.0,2325.0,0,0,3,0,1,0,0,0,2,7,1,2,0,0
HCILab1,2310.0,2340.0,0,0,1,0,1,0,0,0,0,5,1,0,0,0
HCILab1,2325.0,2355.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCILab1,2340.0,2370.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
HCILab1,2400.0,2430.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2415.0,2445.0,0,0,3,0,0,0,0,0,0,1,0,1,0,0
HCILab1,2430.0,2460.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
HCILab1,2445.0,2475.0,0,0,1,0,0,0,0,0,0,4,2,2,1,1
HCILab1,2460.0,2490.0,0,0,0,0,0,0,0,0,0,4,2,2,1,1
HCILab1,2475.0,2505.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2490.0,2520.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2505.0,2535.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
HCILab1,2520.0,2550.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
HCILab1,2535.0,2565.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2550.0,2580.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HCILab1,2640.0,2670.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
HCILab1,2655.0,2685.0,0,0,1,0,0,0,0,0,0,3,2,1,0,0
HCILab1,2670.0,2700.0,0,0,2,0,0,1,0,0,0,6,6,1,0,0
HCILab1,2685.0,2715.0,0,0,2,0,0,1,0,0,0,9,8,3,0,0
HCILab1,2700.0,2730.0,0,0,2,0,0,0,0,0,0,7,3,4,0,0
HCILab1,2715.0,2745.0,0,0,3,0,0,0,0,0,0,3,0,1,1,0
HCILab1,2730.0,2760.0,0,0,3,0,0,0,0,0,0,3,2,1,1,0
HCILab1,2745.0,2775.0,0,0,2,0,0,0,0,0,0,8,2,1,0,0
HCILab1,2760.0,2790.0,0,0,2,0,0,0,0,0,0,5,1,0,1,0
HCILab1,2775.0,2805.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
HCILab1,2805.0,2835.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
HCILab1,2820.0,2850.0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
HCILab1,2880.0,2910.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HCILab1,2895.0,2925.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
HCILab1,3030.0,3060.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
HCILab1,3045.0,3075.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
HCILab1,3075.0,3105.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
