speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_06,30.0,60.0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_06,45.0,75.0,0,2,0,0,1,0,0,3,0,0,0,1,0,8
SPEAKER_06,60.0,90.0,0,3,0,0,3,0,0,3,0,0,0,2,0,9
SPEAKER_06,75.0,105.0,0,4,0,0,4,0,0,4,0,0,0,5,0,5
SPEAKER_06,90.0,120.0,0,2,0,0,2,0,0,3,0,1,6,4,0,5
SPEAKER_06,105.0,135.0,0,1,0,0,1,0,1,8,0,1,6,1,0,5
SPEAKER_06,120.0,150.0,0,2,0,0,3,0,1,7,0,0,0,2,0,4
SPEAKER_06,135.0,165.0,0,1,0,0,2,0,0,0,0,0,0,1,0,1
SPEAKER_06,3825.0,3855.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,3840.0,3870.0,0,1,0,0,2,0,0,0,0,0,0,0,0,2
SPEAKER_06,3855.0,3885.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
