speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_01,225.0,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_01,240.0,270.0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SPEAKER_01,255.0,285.0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SPEAKER_01,270.0,300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_01,285.0,315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,300.0,330.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,585.0,615.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_01,600.0,630.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_01,720.0,750.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,735.0,765.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,840.0,870.0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,855.0,885.0,0,3,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_01,870.0,900.0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_01,885.0,915.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_01,945.0,975.0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
SPEAKER_01,960.0,990.0,0,1,0,0,5,0,0,0,0,0,0,0,0,1
SPEAKER_01,975.0,1005.0,0,1,0,0,4,0,0,0,0,0,0,0,0,2
SPEAKER_01,990.0,1020.0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
SPEAKER_01,1005.0,1035.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_01,1020.0,1050.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0
SPEAKER_01,1035.0,1065.0,0,0,0,0,5,0,0,1,0,0,0,0,0,1
SPEAKER_01,1050.0,1080.0,0,0,0,0,3,0,0,1,0,0,0,0,0,1
SPEAKER_01,1065.0,1095.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,1155.0,1185.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
SPEAKER_01,1170.0,1200.0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
SPEAKER_01,1185.0,1215.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,1275.0,1305.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_01,1290.0,1320.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_01,1305.0,1335.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,1335.0,1365.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_01,1350.0,1380.0,0,0,0,0,2,1,0,2,0,0,0,0,0,2
SPEAKER_01,1365.0,1395.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
SPEAKER_01,1455.0,1485.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_01,1470.0,1500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_01,1500.0,1530.0,0,0,0,0,2,0,0,0,0,0,0,1,0,2
SPEAKER_01,1515.0,1545.0,0,0,0,0,2,0,0,2,0,0,0,1,0,2
SPEAKER_01,1530.0,1560.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_01,1605.0,1635.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_01,1620.0,1650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_01,1665.0,1695.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_01,1680.0,1710.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_01,1695.0,1725.0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_01,1710.0,1740.0,0,1,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_01,1725.0,1755.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,1740.0,1770.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,1785.0,1815.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,1800.0,1830.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_01,1815.0,1845.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_01,1860.0,1890.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,1875.0,1905.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,2010.0,2040.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,2025.0,2055.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_01,2190.0,2220.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,2205.0,2235.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_01,2550.0,2580.0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SPEAKER_01,2565.0,2595.0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
SPEAKER_01,2820.0,2850.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_01,2835.0,2865.0,0,1,0,0,4,0,0,2,0,0,0,0,0,1
SPEAKER_01,2850.0,2880.0,0,0,0,0,2,0,0,2,0,0,0,0,0,1
SPEAKER_01,3090.0,3120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_01,3105.0,3135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
