speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
CSLLaptop,240.0,270.0,1,2,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,255.0,285.0,1,2,0,0,0,0,0,0,0,0,2,0,0,0
CSLLaptop,270.0,300.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,585.0,615.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,600.0,630.0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
CSLLaptop,615.0,645.0,0,2,0,0,0,0,0,0,0,0,3,0,0,0
CSLLaptop,630.0,660.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,735.0,765.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,750.0,780.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,765.0,795.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CSLLaptop,840.0,870.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,855.0,885.0,2,0,0,0,0,3,0,0,0,0,1,2,0,0
CSLLaptop,870.0,900.0,2,0,0,0,0,3,0,0,0,0,2,2,0,0
CSLLaptop,885.0,915.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CSLLaptop,900.0,930.0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
CSLLaptop,915.0,945.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CSLLaptop,960.0,990.0,0,1,0,0,0,1,0,0,0,0,4,0,0,0
CSLLaptop,975.0,1005.0,0,2,0,0,0,1,0,0,0,0,7,0,0,0
CSLLaptop,990.0,1020.0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
CSLLaptop,1005.0,1035.0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
CSLLaptop,1020.0,1050.0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
CSLLaptop,1035.0,1065.0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
CSLLaptop,1050.0,1080.0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
CSLLaptop,1170.0,1200.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
CSLLaptop,1185.0,1215.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
CSLLaptop,1305.0,1335.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,1320.0,1350.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CSLLaptop,1350.0,1380.0,1,1,0,0,0,0,0,1,0,0,2,0,0,0
CSLLaptop,1365.0,1395.0,2,3,0,0,0,0,0,1,0,0,2,0,0,0
CSLLaptop,1380.0,1410.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
