speaker,window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP
CSLPC,255.0,285.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLPC,270.0,300.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLPC,285.0,315.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLPC,300.0,330.0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
CSLPC,315.0,345.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLPC,330.0,360.0,1,0,0,0,0,0,0,0,0,3,0,1,0,0
CSLPC,345.0,375.0,2,0,0,0,0,0,0,0,1,8,0,1,0,0
CSLPC,360.0,390.0,2,0,0,0,0,0,0,0,1,8,0,1,0,0
CSLPC,375.0,405.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,405.0,435.0,2,0,4,1,0,1,0,0,0,9,0,0,0,0
CSLPC,420.0,450.0,2,0,4,1,0,1,0,0,0,9,0,0,0,0
CSLPC,435.0,465.0,3,0,6,1,0,1,0,0,1,15,0,0,1,0
CSLPC,450.0,480.0,3,0,6,1,0,1,0,0,1,16,0,0,1,0
CSLPC,465.0,495.0,1,0,2,1,0,0,0,0,1,9,0,0,1,0
CSLPC,480.0,510.0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
CSLPC,495.0,525.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,510.0,540.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CSLPC,570.0,600.0,1,0,2,3,0,0,0,0,1,4,0,0,0,0
CSLPC,585.0,615.0,1,0,2,3,0,0,0,0,2,7,0,0,0,0
CSLPC,600.0,630.0,0,0,2,2,0,0,0,0,2,5,0,0,0,0
CSLPC,615.0,645.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CSLPC,720.0,750.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,735.0,765.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,750.0,780.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,795.0,825.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLPC,810.0,840.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CSLPC,825.0,855.0,0,0,2,0,0,0,0,0,0,9,0,0,0,1
CSLPC,840.0,870.0,0,0,2,0,0,0,0,0,0,9,0,0,0,1
CSLPC,855.0,885.0,0,0,2,0,0,0,0,0,2,12,0,0,0,1
CSLPC,870.0,900.0,0,0,0,1,0,0,0,0,2,5,0,0,0,0
CSLPC,885.0,915.0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
CSLPC,900.0,930.0,0,0,2,2,0,0,0,0,0,6,0,0,0,0
CSLPC,915.0,945.0,0,0,3,3,0,0,0,0,0,10,0,0,0,0
CSLPC,930.0,960.0,0,0,6,3,0,2,0,0,1,16,0,0,0,0
CSLPC,945.0,975.0,0,0,4,1,0,2,0,0,1,11,0,0,0,0
CSLPC,960.0,990.0,0,0,3,0,0,2,0,0,1,7,0,0,0,0
CSLPC,975.0,1005.0,0,0,3,0,0,2,0,0,1,7,0,0,0,0
CSLPC,1050.0,1080.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLPC,1065.0,1095.0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
CSLPC,1080.0,1110.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLPC,1095.0,1125.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLPC,1110.0,1140.0,0,0,0,1,0,1,0,0,0,4,0,0,0,0
CSLPC,1125.0,1155.0,0,0,2,1,0,1,0,0,0,5,0,0,0,0
CSLPC,1140.0,1170.0,0,0,2,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1200.0,1230.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLPC,1215.0,1245.0,0,0,2,0,0,0,0,0,1,6,0,0,0,0
CSLPC,1230.0,1260.0,0,0,2,0,0,0,0,0,1,6,0,0,0,0
CSLPC,1245.0,1275.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1260.0,1290.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1275.0,1305.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1290.0,1320.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1305.0,1335.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CSLPC,1440.0,1470.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,1455.0,1485.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,1485.0,1515.0,1,0,1,0,0,1,0,0,2,4,0,0,0,0
CSLPC,1500.0,1530.0,1,0,1,0,0,1,0,0,2,4,0,0,0,0
CSLPC,1515.0,1545.0,1,0,1,0,0,1,0,0,2,4,0,0,0,0
CSLPC,1680.0,1710.0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
CSLPC,1695.0,1725.0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
CSLPC,1710.0,1740.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
CSLPC,1725.0,1755.0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
CSLPC,1740.0,1770.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,1755.0,1785.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,1860.0,1890.0,0,0,1,1,0,0,0,0,1,6,0,0,0,0
CSLPC,1875.0,1905.0,0,0,1,1,0,0,0,0,1,6,0,0,0,0
CSLPC,1890.0,1920.0,0,0,1,1,0,0,0,0,1,7,0,0,0,0
CSLPC,1905.0,1935.0,0,0,1,1,0,0,0,0,3,2,0,0,0,0
CSLPC,1920.0,1950.0,0,0,2,1,0,0,0,0,4,4,0,0,0,0
CSLPC,1935.0,1965.0,0,0,3,1,0,0,0,0,4,2,0,0,0,0
CSLPC,1950.0,1980.0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
CSLPC,2055.0,2085.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,2070.0,2100.0,1,0,1,1,0,0,0,0,1,4,0,0,0,0
CSLPC,2085.0,2115.0,1,0,1,1,0,0,0,0,1,3,0,0,0,0
CSLPC,2115.0,2145.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CSLPC,2130.0,2160.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CSLPC,2145.0,2175.0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
CSLPC,2160.0,2190.0,1,0,1,0,0,0,0,0,4,8,0,0,0,0
CSLPC,2175.0,2205.0,1,0,1,0,0,0,0,0,4,8,0,0,0,0
CSLPC,2190.0,2220.0,1,0,1,0,0,0,0,0,2,4,0,0,0,0
CSLPC,2220.0,2250.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLPC,2235.0,2265.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CSLPC,2265.0,2295.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
CSLPC,2280.0,2310.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
CSLPC,2295.0,2325.0,0,0,2,1,0,0,0,0,2,4,0,0,0,0
CSLPC,2310.0,2340.0,0,0,3,1,0,0,0,0,3,7,0,0,0,0
CSLPC,2325.0,2355.0,1,0,10,3,0,0,0,1,4,12,0,0,1,0
CSLPC,2340.0,2370.0,1,0,7,2,0,0,0,1,2,7,0,0,1,0
CSLPC,2355.0,2385.0,1,0,7,2,0,0,0,1,2,7,0,0,1,0
CSLPC,2370.0,2400.0,1,0,7,2,0,0,0,1,2,7,0,0,1,0
CSLPC,2460.0,2490.0,0,0,1,3,0,0,0,0,0,1,0,0,0,0
CSLPC,2475.0,2505.0,0,0,1,3,0,0,0,0,0,2,0,0,0,0
CSLPC,2490.0,2520.0,0,0,1,4,0,0,0,0,0,2,0,0,0,0
CSLPC,2505.0,2535.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CSLPC,2625.0,2655.0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
CSLPC,2640.0,2670.0,0,0,0,2,0,0,0,0,4,5,0,0,0,0
CSLPC,2655.0,2685.0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
CSLPC,2715.0,2745.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CSLPC,2730.0,2760.0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
CSLPC,2745.0,2775.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
CSLPC,2760.0,2790.0,0,0,1,0,0,0,0,0,3,3,0,0,0,1
