speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_00,30.0,60.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,45.0,75.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,60.0,90.0,0,3,0,0,0,0,0,3,1,0,0,1,0,2
SPEAKER_00,75.0,105.0,0,2,0,0,0,0,0,2,1,0,1,2,0,5
SPEAKER_00,90.0,120.0,0,0,0,0,3,0,0,0,0,0,1,3,0,9
SPEAKER_00,105.0,135.0,0,4,0,0,5,0,0,5,0,0,0,4,0,8
SPEAKER_00,120.0,150.0,0,4,0,0,2,0,0,6,0,1,6,3,0,4
SPEAKER_00,135.0,165.0,0,1,0,0,1,0,1,7,0,1,6,1,0,5
SPEAKER_00,150.0,180.0,0,1,0,0,1,0,1,7,0,0,0,1,0,4
SPEAKER_00,165.0,195.0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_00,180.0,210.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,255.0,285.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,270.0,300.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_00,285.0,315.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_00,405.0,435.0,0,0,0,0,2,1,0,4,0,0,0,2,0,6
SPEAKER_00,420.0,450.0,0,0,0,0,2,1,0,4,0,0,0,2,0,7
SPEAKER_00,435.0,465.0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
SPEAKER_00,450.0,480.0,0,2,0,0,2,0,1,2,0,0,0,3,0,3
SPEAKER_00,465.0,495.0,0,2,0,0,4,0,1,3,0,0,0,4,0,5
SPEAKER_00,480.0,510.0,0,1,0,0,2,0,0,2,0,0,0,2,0,2
SPEAKER_00,705.0,735.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_00,720.0,750.0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_00,735.0,765.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
SPEAKER_00,750.0,780.0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
SPEAKER_00,765.0,795.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
SPEAKER_00,780.0,810.0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
SPEAKER_00,840.0,870.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_00,855.0,885.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_00,975.0,1005.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SPEAKER_00,990.0,1020.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SPEAKER_00,1860.0,1890.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,1875.0,1905.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,2595.0,2625.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_00,2610.0,2640.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_00,3705.0,3735.0,2,1,0,0,0,0,0,1,0,0,0,1,0,0
SPEAKER_00,3720.0,3750.0,2,1,0,0,0,0,0,1,0,0,0,1,0,0
SPEAKER_00,3735.0,3765.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,3750.0,3780.0,0,0,0,0,2,0,0,3,0,0,1,0,0,2
SPEAKER_00,3765.0,3795.0,0,0,0,0,2,0,0,3,0,0,1,1,0,2
SPEAKER_00,3780.0,3810.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
